"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYLAS (000)",16097,12416,935,792,1954
"Empleado (001)",2281,502,224,335,1220
"Obrero (002)",3067,1506,419,433,709
"Trabajador independiente (003)",7862,7645,217,,
"Empleador o patrono (004)",255,222,14,12,7
"Trabajador familiar no remunerado (005)",2417,2326,61,12,18
"Trabajador del hogar (006)",215,215,,,
"De 06 a 14 años (008)",333,316,10,3,4
"Empleado (009)",8,7,1,,
"Obrero (010)",39,25,8,2,4
"Trabajador independiente (011)",42,42,,,
"Trabajador familiar no remunerado (013)",240,238,1,1,
"Trabajador del hogar (014)",4,4,,,
"De 15 a 29 años (016)",4968,3720,353,257,638
"Empleado (017)",633,202,81,61,289
"Obrero (018)",1255,559,174,191,331
"Trabajador independiente (019)",1806,1744,62,,
"Empleador o patrono (020)",36,28,2,2,4
"Trabajador familiar no remunerado (021)",1127,1076,34,3,14
"Trabajador del hogar (022)",111,111,,,
"De 30 a 44 años (024)",5508,3940,356,358,854
"Empleado (025)",1030,186,91,174,579
"Obrero (026)",1080,481,157,173,269
"Trabajador independiente (027)",2718,2632,86,,
"Empleador o patrono (028)",88,73,6,6,3
"Trabajador familiar no remunerado (029)",537,513,16,5,3
"Trabajador del hogar (030)",55,55,,,
"De 45 a 64 años (032)",4049,3262,192,157,438
"Empleado (033)",583,101,49,93,340
"Obrero (034)",576,343,75,60,98
"Trabajador independiente (035)",2383,2329,54,,
"Empleador o patrono (036)",96,88,5,3,
"Trabajador familiar no remunerado (037)",376,366,9,1,
"Trabajador del hogar (038)",35,35,,,
"De 65 y más años (040)",1239,1178,24,17,20
"Empleado (041)",27,6,2,7,12
"Obrero (042)",117,98,5,7,7
"Trabajador independiente (043)",913,898,15,,
"Empleador o patrono (044)",35,33,1,1,
"Trabajador familiar no remunerado (045)",137,133,1,2,1
"Trabajador del hogar (046)",10,10,,,
,,,,,
"URBANA (048)",6619,4244,464,460,1451
"Empleado (049)",1915,378,173,283,1081
"Obrero (050)",1191,524,146,161,360
"Trabajador independiente (051)",2825,2698,127,,
"Empleador o patrono (052)",90,68,7,9,6
"Trabajador familiar no remunerado (053)",434,412,11,7,4
"Trabajador del hogar (054)",164,164,,,
"De 06 a 14 años (056)",70,66,2,2,
