"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHUPACA (000)",12330,8916,3414
"Red pública dentro de la vivienda (001)",6271,5262,1009
"Red pública fuera de la vivienda (002)",373,291,82
"Pilón de uso público (003)",123,90,33
"Camión - cisterna u otro similar (004)",5,5,
"Pozo (005)",787,408,379
"Río, acequia, manatial o similar (006)",3266,1881,1385
"Vecino (007)",762,414,348
"Otro (008)",743,565,178
,,,
"URBANA (010)",7198,5520,1678
"Red pública dentro de la vivienda (011)",4438,3814,624
"Red pública fuera de la vivienda (012)",318,253,65
"Pilón de uso público (013)",74,50,24
"Camión - cisterna u otro similar (014)",3,3,
"Pozo (015)",463,233,230
"Río, acequia, manatial o similar (016)",960,543,417
"Vecino (017)",442,224,218
"Otro (018)",500,400,100
,,,
"RURAL (020)",5132,3396,1736
"Red pública dentro de la vivienda (021)",1833,1448,385
"Red pública fuera de la vivienda (022)",55,38,17
"Pilón de uso público (023)",49,40,9
"Camión - cisterna u otro similar (024)",2,2,
"Pozo (025)",324,175,149
"Río, acequia, manatial o similar (026)",2306,1338,968
"Vecino (027)",320,190,130
"Otro (028)",243,165,78
