"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LEONCIO PRADO (000)",46569,1251,16544,15987,10677,2110
"Agric., ganadería, caza y silvicultura (001)",20530,691,7301,6480,4707,1351
"Pesca (002)",47,,21,20,6,
"Explotación de minas y canteras (003)",65,,25,23,13,4
"Industrias manufactureras (004)",1745,80,657,554,406,48
"Suministro de electricidad, gas y agua (005)",67,,22,28,16,1
"Construcción (006)",1607,14,542,585,421,45
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6927,161,2191,2560,1748,267
"Venta, mant.y rep. veh.autom.y motoc. (008)",694,24,253,224,170,23
"Comercio al por mayor (009)",321,7,122,129,58,5
"Comercio al por menor (010)",5912,130,1816,2207,1520,239
"Hoteles y restaurantes (011)",2176,77,742,727,540,90
"Trans., almac. y comunicaciones (012)",2910,13,1152,1109,607,29
"Intermediación financiera (013)",95,,56,25,14,
"Activid.inmobil., empres. y alquileres (014)",963,4,376,371,195,17
"Admin.pub. y defensa; p. segur.soc afil (015)",1190,,367,515,297,11
"Enseñanza (016)",1739,,334,880,503,22
"Servicios sociales y de salud (017)",718,,166,361,179,12
"Otras activ. serv.comun.soc y personales (018)",957,28,339,347,203,40
"Hogares privados con servicio doméstico (019)",1096,66,573,265,165,27
"Organiz. y organos extraterritoriales (020)",2,,,1,1,
"Actividad economica no especificada (021)",1371,7,505,482,319,58
"Desocupado (022)",2364,110,1175,654,337,88
"Hombres (023)",33650,932,12121,11200,7728,1669
"Agric., ganadería, caza y silvicultura (024)",17932,588,6503,5635,4020,1186
"Pesca (025)",47,,21,20,6,
"Explotación de minas y canteras (026)",60,,24,20,12,4
"Industrias manufactureras (027)",1230,62,502,350,280,36
"Suministro de electricidad, gas y agua (028)",58,,18,26,13,1
"Construcción (029)",1554,14,521,560,414,45
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",3501,101,1152,1186,900,162
"Venta, mant.y rep. veh.autom.y motoc. (031)",618,22,219,195,159,23
"Comercio al por mayor (032)",192,3,84,71,32,2
"Comercio al por menor (033)",2691,76,849,920,709,137
"Hoteles y restaurantes (034)",558,42,214,146,132,24
"Trans., almac. y comunicaciones (035)",2736,12,1043,1064,588,29
"Intermediación financiera (036)",56,,26,16,14,
"Activid.inmobil., empres. y alquileres (037)",713,4,258,271,163,17
"Admin.pub. y defensa; p. segur.soc afil (038)",984,,290,426,257,11
