"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MOHO (000)",24852,2796,802,207,21063
"Hombres (001)",12143,1420,430,140,10162
"Mujeres (002)",12709,1376,372,67,10901
"PEA (003)",11761,541,470,114,10641
"Hombres (004)",6614,287,280,83,5966
"Mujeres (005)",5147,254,190,31,4675
"Ocupada (006)",11279,527,463,112,10182
"Hombres (007)",6234,275,275,82,5604
"Mujeres (008)",5045,252,188,30,4578
"Desocupada (009)",482,14,7,2,459
"Hombres (010)",380,12,5,1,362
"Mujeres (011)",102,2,2,1,97
"No PEA (012)",13091,2255,332,93,10422
"Hombres (013)",5529,1133,150,57,4196
"Mujeres (014)",7562,1122,182,36,6226
,,,,,
"URBANA (018)",7076,853,450,103,5675
"Hombres (019)",3654,443,241,84,2890
"Mujeres (020)",3422,410,209,19,2785
"PEA (021)",3106,206,260,76,2566
"Hombres (022)",1836,123,158,62,1495
"Mujeres (023)",1270,83,102,14,1071
"Ocupada (024)",2899,196,257,74,2374
"Hombres (025)",1674,114,155,61,1346
"Mujeres (026)",1225,82,102,13,1028
"Desocupada (027)",207,10,3,2,192
"Hombres (028)",162,9,3,1,149
"Mujeres (029)",45,1,,1,43
"No PEA (030)",3970,647,190,27,3109
"Hombres (031)",1818,320,83,22,1395
"Mujeres (032)",2152,327,107,5,1714
,,,,,
"RURAL (036)",17776,1943,352,104,15388
"Hombres (037)",8489,977,189,56,7272
"Mujeres (038)",9287,966,163,48,8116
"PEA (039)",8655,335,210,38,8075
"Hombres (040)",4778,164,122,21,4471
"Mujeres (041)",3877,171,88,17,3604
"Ocupada (042)",8380,331,206,38,7808
"Hombres (043)",4560,161,120,21,4258
"Mujeres (044)",3820,170,86,17,3550
"Desocupada (045)",275,4,4,,267
"Hombres (046)",218,3,2,,213
"Mujeres (047)",57,1,2,,54
"No PEA (048)",9121,1608,142,66,7313
"Hombres (049)",3711,813,67,35,2801
"Mujeres (050)",5410,795,75,31,4512
