"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MAYNAS (000)",10346,3273,7073
"De 14 a 29 años (001)",5905,2635,3270
"De 30 a 44 años (002)",2661,525,2136
"De 45 a 64 años (003)",1557,113,1444
"De 65 y más años (004)",223,,223
"Hombres (005)",7296,2109,5187
"De 14 a 29 años (006)",3884,1699,2185
"De 30 a 44 años (007)",1931,329,1602
"De 45 a 64 años (008)",1286,81,1205
"De 65 y más años (009)",195,,195
"Mujeres (010)",3050,1164,1886
"De 14 a 29 años (011)",2021,936,1085
"De 30 a 44 años (012)",730,196,534
"De 45 a 64 años (013)",271,32,239
"De 65 y más años (014)",28,,28
,,,
"AREA URBANA (015)",8811,2632,6179
"De 14 a 29 años (016)",5035,2130,2905
"De 30 a 44 años (017)",2256,421,1835
"De 45 a 64 años (018)",1337,81,1256
"De 65 y más años (019)",183,,183
"Hombres (020)",5974,1605,4369
"De 14 a 29 años (021)",3168,1310,1858
"De 30 a 44 años (022)",1570,242,1328
"De 45 a 64 años (023)",1078,53,1025
"De 65 y más años (024)",158,,158
"Mujeres (025)",2837,1027,1810
"De 14 a 29 años (026)",1867,820,1047
"De 30 a 44 años (027)",686,179,507
"De 45 a 64 años (028)",259,28,231
"De 65 y más años (029)",25,,25
,,,
"AREA RURAL (030)",1535,641,894
"De 14 a 29 años (031)",870,505,365
"De 30 a 44 años (032)",405,104,301
"De 45 a 64 años (033)",220,32,188
"De 65 y más años (034)",40,,40
"Hombres (035)",1322,504,818
"De 14 a 29 años (036)",716,389,327
"De 30 a 44 años (037)",361,87,274
"De 45 a 64 años (038)",208,28,180
"De 65 y más años (039)",37,,37
"Mujeres (040)",213,137,76
"De 14 a 29 años (041)",154,116,38
"De 30 a 44 años (042)",44,17,27
"De 45 a 64 años (043)",12,4,8
"De 65 y más años (044)",3,,3
