"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ZARUMILLA (000)",14393,13505,3716,2399,2325,1740,1758,752,407,408,888,32971
"De 12 a 14 años (001)",1353,1333,1321,11,1,,,,,,20,13
"De 15 a 19 años (002)",2051,1925,1576,318,28,3,,,,,126,383
"De 20 a 24 años (003)",2055,1772,459,865,359,70,16,3,,,283,1880
"De 25 a 29 años (004)",1883,1678,135,569,639,237,91,4,3,,205,2985
"De 30 a 34 años (005)",1600,1510,60,263,529,388,234,27,7,2,90,3743
"De 35 a 39 años (006)",1362,1313,46,136,333,396,326,64,11,1,49,3909
"De 40 a 44 años (007)",1145,1115,36,95,201,277,359,112,28,7,30,3920
"De 45 a 49 años (008)",874,845,20,44,97,193,270,143,56,22,29,3637
"De 50 y más años (009)",2070,2014,63,98,138,176,462,399,302,376,56,12501
"PEA (010)",4280,3894,710,794,820,607,572,219,90,82,386,9832
"De 12 a 14 años (011)",53,51,50,,1,,,,,,2,2
"De 15 a 19 años (012)",362,342,277,61,2,2,,,,,20,71
"De 20 a 24 años (013)",655,536,193,237,79,18,8,1,,,119,490
"De 25 a 29 años (014)",675,545,79,193,182,59,30,2,,,130,870
"De 30 a 34 años (015)",623,570,36,122,196,127,75,10,3,1,53,1319
"De 35 a 39 años (016)",552,525,27,66,162,140,107,17,5,1,27,1428
"De 40 a 44 años (017)",441,431,18,54,94,112,118,28,3,4,10,1338
"De 45 a 49 años (018)",363,347,15,21,47,88,100,49,20,7,16,1372
"De 50 y más años (019)",556,547,15,40,57,61,134,112,59,69,9,2942
"Ocupada (020)",4097,3736,660,748,800,586,560,215,86,81,361,9559
"De 12 a 14 años (021)",46,44,43,,1,,,,,,2,2
"De 15 a 19 años (022)",336,319,259,57,1,2,,,,,17,65
