"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ANTABAMBA (000)",5205,867,1777,1414,1147
"Asiste actualmente (001)",3767,388,1693,1324,362
"No asiste (002)",1438,479,84,90,785
"Hombres (004)",2716,461,906,767,582
"Asiste actualmente (005)",2020,205,860,721,234
"No asiste (006)",696,256,46,46,348
"Mujeres (008)",2489,406,871,647,565
"Asiste actualmente (009)",1747,183,833,603,128
"No asiste (010)",742,223,38,44,437
,,,,,
"URBANA (012)",3853,584,1314,1141,814
"Asiste actualmente (013)",2954,281,1267,1090,316
"No asiste (014)",899,303,47,51,498
"Hombres (016)",2022,328,659,614,421
"Asiste actualmente (017)",1573,152,631,586,204
"No asiste (018)",449,176,28,28,217
"Mujeres (020)",1831,256,655,527,393
"Asiste actualmente (021)",1381,129,636,504,112
"No asiste (022)",450,127,19,23,281
,,,,,
"RURAL (024)",1352,283,463,273,333
"Asiste actualmente (025)",813,107,426,234,46
"No asiste (026)",539,176,37,39,287
"Hombres (028)",694,133,247,153,161
"Asiste actualmente (029)",447,53,229,135,30
"No asiste (030)",247,80,18,18,131
"Mujeres (032)",658,150,216,120,172
"Asiste actualmente (033)",366,54,197,99,16
"No asiste (034)",292,96,19,21,156
