"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANCAVELICA (000)",74199,61440,12759
"De 3 a 5 años (001)",10535,700,9835
"De 6 a 11 años (002)",23309,20850,2459
"De 12 a 16 años (003)",18414,18309,105
"De 17 a 24 años (004)",21941,21581,360
"Hombres (005)",36991,30682,6309
"De 3 a 5 años (006)",5345,360,4985
"De 6 a 11 años (007)",11741,10536,1205
"De 12 a 16 años (008)",9262,9220,42
"De 17 a 24 años (009)",10643,10566,77
"Mujeres (010)",37208,30758,6450
"De 3 a 5 años (011)",5190,340,4850
"De 6 a 11 años (012)",11568,10314,1254
"De 12 a 16 años (013)",9152,9089,63
"De 17 a 24 años (014)",11298,11015,283
,,,
"URBANA (015)",29669,25891,3778
"De 3 a 5 años (016)",3597,370,3227
"De 6 a 11 años (017)",8424,7946,478
"De 12 a 16 años (018)",7501,7473,28
"De 17 a 24 años (019)",10147,10102,45
"Hombres (020)",14879,13001,1878
"De 3 a 5 años (021)",1795,186,1609
"De 6 a 11 años (022)",4305,4056,249
"De 12 a 16 años (023)",3806,3796,10
"De 17 a 24 años (024)",4973,4963,10
"Mujeres (025)",14790,12890,1900
"De 3 a 5 años (026)",1802,184,1618
"De 6 a 11 años (027)",4119,3890,229
"De 12 a 16 años (028)",3695,3677,18
"De 17 a 24 años (029)",5174,5139,35
,,,
"RURAL (030)",44530,35549,8981
"De 3 a 5 años (031)",6938,330,6608
"De 6 a 11 años (032)",14885,12904,1981
"De 12 a 16 años (033)",10913,10836,77
"De 17 a 24 años (034)",11794,11479,315
"Hombres (035)",22112,17681,4431
"De 3 a 5 años (036)",3550,174,3376
"De 6 a 11 años (037)",7436,6480,956
"De 12 a 16 años (038)",5456,5424,32
"De 17 a 24 años (039)",5670,5603,67
"Mujeres (040)",22418,17868,4550
"De 3 a 5 años (041)",3388,156,3232
"De 6 a 11 años (042)",7449,6424,1025
"De 12 a 16 años (043)",5457,5412,45
"De 17 a 24 años (044)",6124,5876,248
