"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOYOBAMBA (000)",41625,34662,2690,1903,2370
"Empleado (001)",7037,2354,999,1544,2140
"Obrero (002)",6207,5067,617,312,211
"Trabajador independiente (003)",20654,19872,782,,
"Empleador o patrono (004)",1390,1265,84,27,14
"Trabajador familiar no remunerado (005)",5016,4783,208,20,5
"Trabajador del hogar (006)",1321,1321,,,
"De 06 a 14 años (008)",1386,1305,68,10,3
"Empleado (009)",48,43,3,2,
"Obrero (010)",177,152,20,2,3
"Trabajador independiente (011)",220,212,8,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",875,832,37,6,
"Trabajador del hogar (014)",65,65,,,
"De 15 a 29 años (016)",15665,13403,1086,581,595
"Empleado (017)",2450,1110,392,428,520
"Obrero (018)",2894,2397,288,141,68
"Trabajador independiente (019)",6450,6182,268,,
"Empleador o patrono (020)",407,379,17,6,5
"Trabajador familiar no remunerado (021)",2768,2639,121,6,2
"Trabajador del hogar (022)",696,696,,,
"De 30 a 44 años (024)",14330,11212,1033,955,1130
"Empleado (025)",3174,848,453,831,1042
"Obrero (026)",1908,1517,198,114,79
"Trabajador independiente (027)",7549,7233,316,,
"Empleador o patrono (028)",517,470,33,6,8
"Trabajador familiar no remunerado (029)",856,818,33,4,1
"Trabajador del hogar (030)",326,326,,,
"De 45 a 64 años (032)",8556,7129,461,345,621
"Empleado (033)",1291,314,142,273,562
"Obrero (034)",1052,840,102,54,56
"Trabajador independiente (035)",5214,5041,173,,
"Empleador o patrono (036)",377,332,30,14,1
"Trabajador familiar no remunerado (037)",432,412,14,4,2
"Trabajador del hogar (038)",190,190,,,
"De 65 y más años (040)",1688,1613,42,12,21
"Empleado (041)",74,39,9,10,16
"Obrero (042)",176,161,9,1,5
"Trabajador independiente (043)",1221,1204,17,,
"Empleador o patrono (044)",88,83,4,1,
"Trabajador familiar no remunerado (045)",85,82,3,,
"Trabajador del hogar (046)",44,44,,,
,,,,,
"URBANA (048)",26273,19905,2202,1846,2320
"Empleado (049)",6825,2236,968,1520,2101
"Obrero (050)",3555,2603,459,293,200
"Trabajador independiente (051)",11620,11052,568,,
"Empleador o patrono (052)",871,760,73,24,14
