"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",38273,9584,1078,17204,8166,677,712,264,588
"Jefe o Jefa (001)",9525,1972,67,3683,2639,292,388,140,344
"Esposa(o)/ compa¤era(o) (002)",6681,1913,63,2901,1347,137,158,55,107
"Hijo(a)/ hijastro(a) (003)",16396,4332,759,8273,2733,144,71,45,39
"Yerno/ nuera (004)",370,33,,112,192,9,7,2,15
"Nieto(a) (005)",1027,337,83,483,119,1,3,1,
"Padres/ suegros (006)",288,129,1,119,25,3,8,1,2
"Otro(a) pariente (007)",3215,809,96,1388,790,57,42,8,25
"Trabajador(a) del hogar (008)",80,5,,35,39,1,,,
"Pensionista (009)",67,1,,15,34,1,4,1,11
"Otro(a) no pariente (010)",624,53,9,195,248,32,31,11,45
"Hombres (012)",19827,4383,533,8784,4761,404,415,168,379
"Jefe o Jefa (013)",7752,1534,61,3056,2165,243,294,119,280
"Esposa(o)/ compa¤era(o) (014)",307,32,1,91,131,14,21,5,12
"Hijo(a)/ hijastro(a) (015)",8649,2167,388,4389,1543,77,37,28,20
"Yerno/ nuera (016)",180,13,,45,100,4,6,2,10
"Nieto(a) (017)",518,167,33,239,76,1,2,,
"Padres/ suegros (018)",126,38,,60,17,2,7,1,1
"Otro(a) pariente (019)",1802,403,47,759,507,35,30,3,18
"Trabajador(a) del hogar (020)",24,,,12,12,,,,
"Pensionista (021)",49,1,,10,27,,4,1,6
"Otro(a) no pariente (022)",420,28,3,123,183,28,14,9,32
"Mujeres (024)",18446,5201,545,8420,3405,273,297,96,209
"Jefe o Jefa (025)",1773,438,6,627,474,49,94,21,64
"Esposa(o)/ compa¤era(o) (026)",6374,1881,62,2810,1216,123,137,50,95
"Hijo(a)/ hijastro(a) (027)",7747,2165,371,3884,1190,67,34,17,19
"Yerno/ nuera (028)",190,20,,67,92,5,1,,5
"Nieto(a) (029)",509,170,50,244,43,,1,1,
"Padres/ suegros (030)",162,91,1,59,8,1,1,,1
"Otro(a) pariente (031)",1413,406,49,629,283,22,12,5,7
"Trabajador(a) del hogar (032)",56,5,,23,27,1,,,
"Pensionista (033)",18,,,5,7,1,,,5
"Otro(a) no pariente (034)",204,25,6,72,65,4,17,2,13
,,,,,,,,,
"URBANA (036)",13137,1458,430,4682,4803,547,542,219,456
"Jefe o Jefa (037)",3334,117,9,946,1414,220,270,108,250
"Esposa(o)/ compa¤era(o) (038)",2064,144,10,713,807,120,135,49,86
"Hijo(a)/ hijastro(a) (039)",5381,854,329,2233,1699,121,68,42,35
"Yerno/ nuera (040)",198,9,,27,132,9,7,2,12
"Nieto(a) (041)",423,121,47,183,68,1,2,1,
"Padres/ suegros (042)",147,38,1,77,23,3,2,1,2
"Otro(a) pariente (043)",1059,146,26,353,432,45,28,5,24
"Trabajador(a) del hogar (044)",56,3,,20,32,1,,,
"Pensionista (045)",42,,,6,22,1,3,1,9
"Otro(a) no pariente (046)",433,26,8,124,174,26,27,10,38
