"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MARAÑON (000)",207,83,124
"Sin nivel (001)",20,7,13
"Primaria (003)",115,39,76
"Secundaria (004)",56,30,26
"Superior no univ. incompleta (005)",1,,1
"Superior no univ. completa (006)",10,4,6
"Superior univ. incompleta (007)",4,3,1
"Superior univ. completa (008)",1,,1
"Hombres (010)",167,60,107
"Sin nivel (011)",16,4,12
"Primaria (013)",92,26,66
"Secundaria (014)",49,24,25
"Superior no univ. incompleta (015)",1,,1
"Superior no univ. completa (016)",4,3,1
"Superior univ. incompleta (017)",4,3,1
"Superior univ. completa (018)",1,,1
"Mujeres (020)",40,23,17
"Sin nivel (021)",4,3,1
"Primaria (023)",23,13,10
"Secundaria (024)",7,6,1
"Superior no univ. completa (026)",6,1,5
,,,
"AREA URBANA (030)",35,15,20
"Sin nivel (031)",1,,1
"Primaria (033)",15,6,9
"Secundaria (034)",10,6,4
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",3,,3
"Superior univ. incompleta (037)",4,3,1
"Superior univ. completa (038)",1,,1
"Hombres (040)",26,8,18
"Sin nivel (041)",1,,1
"Primaria (043)",12,3,9
"Secundaria (044)",6,2,4
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",1,,1
"Superior univ. incompleta (047)",4,3,1
"Superior univ. completa (048)",1,,1
"Mujeres (050)",9,7,2
"Primaria (053)",3,3,
"Secundaria (054)",4,4,
"Superior no univ. completa (056)",2,,2
,,,
"AREA RURAL (060)",172,68,104
"Sin nivel (061)",19,7,12
"Primaria (063)",100,33,67
"Secundaria (064)",46,24,22
"Superior no univ. completa (066)",7,4,3
"Hombres (070)",141,52,89
"Sin nivel (071)",15,4,11
"Primaria (073)",80,23,57
"Secundaria (074)",43,22,21
"Superior no univ. completa (076)",3,3,
"Mujeres (080)",31,16,15
"Sin nivel (081)",4,3,1
"Primaria (083)",20,10,10
"Secundaria (084)",3,2,1
"Superior no univ. completa (086)",4,1,3
