"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia OCROS (000)",3399,3298,833,399,457,370,582,353,304,101
"Católica (001)",2817,2730,729,341,389,303,474,273,221,87
"Cristiana/Evangélica (002)",525,512,94,50,62,56,98,72,80,13
"Otra (003)",36,36,6,5,4,6,6,6,3,
"Ninguna (004)",21,20,4,3,2,5,4,2,,1
,,,,,,,,,,
"URBANA (006)",2023,1969,491,238,286,210,360,216,168,54
"Católica (007)",1681,1635,433,210,247,172,294,162,117,46
"Cristiana/Evangélica (008)",304,296,50,23,36,32,57,49,49,8
"Otra (009)",26,26,6,3,1,5,6,3,2,
"Ninguna (010)",12,12,2,2,2,1,3,2,,
,,,,,,,,,,
"RURAL (012)",1376,1329,342,161,171,160,222,137,136,47
"Católica (013)",1136,1095,296,131,142,131,180,111,104,41
"Cristiana/Evangélica (014)",221,216,44,27,26,24,41,23,31,5
"Otra (015)",10,10,,2,3,1,,3,1,
"Ninguna (016)",9,8,2,1,,4,1,,,1
