"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia HUALLAGA",,,,,,,,,
"Hogares (001)",6101,5,1124,20,18,4819,2,2,111
"Ocupantes presentes (002)",24441,16,4096,62,78,19990,11,8,180
"Casa independiente",,,,,,,,,
"Hogares (004)",5145,5,1072,19,16,3940,2,2,89
"Ocupantes presentes (005)",20841,16,3895,58,71,16646,11,8,136
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",44,,35,,,,,,9
"Ocupantes presentes (011)",139,,117,,,,,,22
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",25,,8,,,17,,,
"Ocupantes presentes (014)",117,,38,,,79,,,
"Choza o cabaña",,,,,,,,,
"Hogares (016)",875,,6,1,2,855,,,11
"Ocupantes presentes (017)",3302,,38,4,7,3234,,,19
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,,,2,,,
"Ocupantes presentes (020)",10,,,,,10,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",6,,1,,,3,,,2
"Ocupantes presentes (023)",22,,5,,,14,,,3
"Otro tipo",,,,,,,,,
"Hogares (025)",4,,2,,,2,,,
"Ocupantes presentes (026)",10,,3,,,7,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3371,5,1079,13,11,2168,2,2,91
"Ocupantes presentes (029)",13274,16,3932,36,49,9075,11,8,147
"Casa independiente",,,,,,,,,
"Hogares (031)",3290,5,1033,13,11,2144,2,2,80
"Ocupantes presentes (032)",12976,16,3769,36,49,8965,11,8,122
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",44,,35,,,,,,9
"Ocupantes presentes (038)",139,,117,,,,,,22
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",25,,8,,,17,,,
"Ocupantes presentes (041)",117,,38,,,79,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,,,2,,,
"Ocupantes presentes (047)",10,,,,,10,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,1,,,3,,,2
"Ocupantes presentes (050)",22,,5,,,14,,,3
"Otro tipo",,,,,,,,,
"Hogares (052)",4,,2,,,2,,,
"Ocupantes presentes (053)",10,,3,,,7,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",2730,,45,7,7,2651,,,20
"Ocupantes presentes (056)",11167,,164,26,29,10915,,,33
"Casa independiente",,,,,,,,,
"Hogares (058)",1855,,39,6,5,1796,,,9
"Ocupantes presentes (059)",7865,,126,22,22,7681,,,14
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",875,,6,1,2,855,,,11
"Ocupantes presentes (071)",3302,,38,4,7,3234,,,19
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
