"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia JULCAN (000)",19063,8433,16,277,9747,250,13,21,,306
"Hombres (001)",6183,4356,15,201,1252,126,12,17,,204
"Mujeres (002)",12880,4077,1,76,8495,124,1,4,,102
"De 06 a 14 años (003)",7828,7231,,,358,123,,2,,114
"Hombres (004)",3914,3692,,,98,61,,2,,61
"Mujeres (005)",3914,3539,,,260,62,,,,53
"De 15 a 29 años (006)",4576,1151,2,68,3270,,3,7,,75
"Hombres (007)",1153,656,2,51,384,,3,6,,51
"Mujeres (008)",3423,495,,17,2886,,,1,,24
"De 30 a 44 años (009)",2967,28,1,72,2823,,7,4,,32
"Hombres (010)",408,5,1,52,314,,6,2,,28
"Mujeres (011)",2559,23,,20,2509,,1,2,,4
"De 45 a 64 años (012)",2283,18,1,57,2160,1,3,3,,40
"Hombres (013)",355,3,,42,272,1,3,3,,31
"Mujeres (014)",1928,15,1,15,1888,,,,,9
"De 65 y más años (015)",1409,5,12,80,1136,126,,5,,45
"Hombres (016)",353,,12,56,184,64,,4,,33
"Mujeres (017)",1056,5,,24,952,62,,1,,12
,,,,,,,,,,
"AREA URBANA (018)",2899,1266,6,94,1435,41,1,7,,49
"Hombres (019)",1046,649,5,63,279,17,1,6,,26
"Mujeres (020)",1853,617,1,31,1156,24,,1,,23
"De 06 a 14 años (021)",1068,1019,,,24,9,,1,,15
"Hombres (022)",548,529,,,6,5,,1,,7
"Mujeres (023)",520,490,,,18,4,,,,8
"De 15 a 29 años (024)",688,237,,22,412,,,3,,14
"Hombres (025)",210,117,,15,69,,,3,,6
"Mujeres (026)",478,120,,7,343,,,,,8
"De 30 a 44 años (027)",501,4,1,29,460,,,,,7
"Hombres (028)",118,1,1,20,90,,,,,6
"Mujeres (029)",383,3,,9,370,,,,,1
"De 45 a 64 años (030)",416,6,1,20,380,,1,,,8
"Hombres (031)",95,2,,12,76,,1,,,4
"Mujeres (032)",321,4,1,8,304,,,,,4
"De 65 y más años (033)",226,,4,23,159,32,,3,,5
"Hombres (034)",75,,4,16,38,12,,2,,3
"Mujeres (035)",151,,,7,121,20,,1,,2
,,,,,,,,,,
"AREA RURAL (036)",16164,7167,10,183,8312,209,12,14,,257
"Hombres (037)",5137,3707,10,138,973,109,11,11,,178
"Mujeres (038)",11027,3460,,45,7339,100,1,3,,79
"De 06 a 14 años (039)",6760,6212,,,334,114,,1,,99
"Hombres (040)",3366,3163,,,92,56,,1,,54
"Mujeres (041)",3394,3049,,,242,58,,,,45
"De 15 a 29 años (042)",3888,914,2,46,2858,,3,4,,61
"Hombres (043)",943,539,2,36,315,,3,3,,45
"Mujeres (044)",2945,375,,10,2543,,,1,,16
"De 30 a 44 años (045)",2466,24,,43,2363,,7,4,,25
"Hombres (046)",290,4,,32,224,,6,2,,22
"Mujeres (047)",2176,20,,11,2139,,1,2,,3
"De 45 a 64 años (048)",1867,12,,37,1780,1,2,3,,32
"Hombres (049)",260,1,,30,196,1,2,3,,27
"Mujeres (050)",1607,11,,7,1584,,,,,5
"De 65 y más años (051)",1183,5,8,57,977,94,,2,,40
"Hombres (052)",278,,8,40,146,52,,2,,30
"Mujeres (053)",905,5,,17,831,42,,,,10
