"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LIMA (000)",1718091,7531233,1715402,7521549,2689,9684
"Casa independiente (001)",1339965,6224018,1337470,6214886,2495,9132
"Departamento en edificio (002)",254999,865168,254999,865168,,
"Vivienda en quinta (003)",56726,205882,56726,205882,,
"Vivienda en casa de vecindad (004)",23261,85595,23261,85595,,
"Choza o cabaña (005)",177,500,,,177,500
"Vivienda improvisada (006)",32998,118837,32998,118837,,
"Local no dest.para hab. humana (007)",4286,13080,4271,13030,15,50
"Otro tipo (008)",5679,18153,5677,18151,2,2
