"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MORROPON (000)",42539,379,15705,14085,4578,1666,788,241,35,,5062
"Sin Nivel (001)",10279,142,4126,3306,961,382,193,91,14,,1064
"Educación Inicial (002)",54,1,24,15,2,1,,,,,11
"Primaria (003)",18281,176,7541,6108,1711,606,336,93,11,,1699
"Secundaria (004)",8935,49,3250,3066,896,283,114,25,2,,1250
"Sup. no Univ. Incompleta (005)",1222,4,226,439,201,58,18,1,1,,274
"Sup. no Univ. Completa (006)",1940,2,257,653,429,168,60,16,2,,353
"Sup. Univ. Incompleta (007)",542,2,110,160,76,38,16,,1,,139
"Sup. Univ. Completa (008)",1286,3,171,338,302,130,51,15,4,,272
,,,,,,,,,,,
"URBANA (010)",25520,237,8886,8230,2916,1133,564,157,25,,3372
"Sin Nivel (011)",4724,78,1892,1418,420,179,97,49,5,,586
"Educación Inicial (012)",32,1,12,7,2,1,,,,,9
"Primaria (013)",9901,112,4029,3172,919,377,235,63,10,,984
"Secundaria (014)",6428,36,2278,2214,668,223,97,16,2,,894
"Sup. no Univ. Incompleta (015)",1069,4,196,389,179,53,18,1,1,,228
"Sup. no Univ. Completa (016)",1722,2,226,584,385,147,54,14,2,,308
"Sup. Univ. Incompleta (017)",479,2,99,141,68,34,13,,1,,121
"Sup. Univ. Completa (018)",1165,2,154,305,275,119,50,14,4,,242
,,,,,,,,,,,
"RURAL (020)",17019,142,6819,5855,1662,533,224,84,10,,1690
"Sin Nivel (021)",5555,64,2234,1888,541,203,96,42,9,,478
"Educación Inicial (022)",22,,12,8,,,,,,,2
"Primaria (023)",8380,64,3512,2936,792,229,101,30,1,,715
"Secundaria (024)",2507,13,972,852,228,60,17,9,,,356
"Sup. no Univ. Incompleta (025)",153,,30,50,22,5,,,,,46
"Sup. no Univ. Completa (026)",218,,31,69,44,21,6,2,,,45
"Sup. Univ. Incompleta (027)",63,,11,19,8,4,3,,,,18
"Sup. Univ. Completa (028)",121,1,17,33,27,11,1,1,,,30
