"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAZ (000)",52505,36259,5041,5130,6075
"Empleado (001)",17207,5350,2591,3961,5305
"Obrero (002)",8073,5009,1258,1069,737
"Trabajador independiente (003)",21217,20275,942,,
"Empleador o patrono (004)",952,734,114,74,30
"Trabajador familiar no remunerado (005)",3458,3293,136,26,3
"Trabajador del hogar (006)",1598,1598,,,
"De 06 a 14 años (008)",527,495,24,6,2
"Empleado (009)",61,55,4,1,1
"Obrero (010)",47,39,5,2,1
"Trabajador independiente (011)",106,99,7,,
"Trabajador familiar no remunerado (013)",285,274,8,3,
"Trabajador del hogar (014)",28,28,,,
"De 15 a 29 años (016)",16737,11861,1992,1507,1377
"Empleado (017)",5742,2528,1013,1047,1154
"Obrero (018)",3156,1981,525,438,212
"Trabajador independiente (019)",5246,4889,357,,
"Empleador o patrono (020)",238,184,29,15,10
"Trabajador familiar no remunerado (021)",1427,1351,68,7,1
"Trabajador del hogar (022)",928,928,,,
"De 30 a 44 años (024)",19351,12193,1919,2418,2821
"Empleado (025)",7416,1852,1091,1998,2475
"Obrero (026)",2807,1669,424,381,333
"Trabajador independiente (027)",7527,7203,324,,
"Empleador o patrono (028)",386,294,51,30,11
"Trabajador familiar no remunerado (029)",804,764,29,9,2
"Trabajador del hogar (030)",411,411,,,
"De 45 a 64 años (032)",12829,8895,996,1135,1803
"Empleado (033)",3800,838,460,887,1615
"Obrero (034)",1720,1052,271,218,179
"Trabajador independiente (035)",6159,5950,209,,
"Empleador o patrono (036)",269,201,32,27,9
"Trabajador familiar no remunerado (037)",676,649,24,3,
"Trabajador del hogar (038)",205,205,,,
"De 65 y más años (040)",3061,2815,110,64,72
"Empleado (041)",188,77,23,28,60
"Obrero (042)",343,268,33,30,12
"Trabajador independiente (043)",2179,2134,45,,
"Empleador o patrono (044)",59,55,2,2,
"Trabajador familiar no remunerado (045)",266,255,7,4,
"Trabajador del hogar (046)",26,26,,,
,,,,,
"URBANA (048)",41493,26522,4392,4756,5823
"Empleado (049)",16494,5068,2456,3816,5154
"Obrero (050)",5630,3225,918,850,637
"Trabajador independiente (051)",15236,14421,815,,
"Empleador o patrono (052)",881,680,105,67,29
"Trabajador familiar no remunerado (053)",1851,1727,98,23,3
