"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia AIJA (000)",3466,3022,2110,333,579,444,11,93,318,22
"Casa independiente (001)",3144,2732,1920,305,507,412,10,93,289,20
"Vivienda en casa de vecindad (004)",17,16,14,2,,1,1,,,
"Choza o cabaña (005)",303,272,174,26,72,31,,,29,2
"Local no dest.para hab. humana (007)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",1213,1016,723,106,187,197,8,38,138,13
"Casa independiente (010)",1194,998,707,104,187,196,7,38,138,13
"Vivienda en casa de vecindad (013)",17,16,14,2,,1,1,,,
"Local no dest.para hab. humana (016)",2,2,2,,,,,,,
,,,,,,,,,,
"RURAL (018)",2253,2006,1387,227,392,247,3,55,180,9
"Casa independiente (019)",1950,1734,1213,201,320,216,3,55,151,7
"Choza o cabaña (023)",303,272,174,26,72,31,,,29,2
