"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BAGUA (000)",40,37,3
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",19,17,2
"Hospital, clinica (004)",6,6,
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",6,6,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,6,1
