"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHICLAYO (000)",164816,144526,20290
"Red pública dentro de la vivienda (001)",112730,109089,3641
"Red pública fuera de la vivienda (002)",8382,7659,723
"Pilón de uso público (003)",7777,5602,2175
"Camión - cisterna u otro similar (004)",2639,1352,1287
"Pozo (005)",19531,13880,5651
"Río, acequia, manatial o similar (006)",5224,2033,3191
"Vecino (007)",6523,3968,2555
"Otro (008)",2010,943,1067
,,,
"URBANA (010)",153529,140046,13483
"Red pública dentro de la vivienda (011)",111308,108000,3308
"Red pública fuera de la vivienda (012)",8047,7401,646
"Pilón de uso público (013)",7292,5335,1957
"Camión - cisterna u otro similar (014)",2318,1226,1092
"Pozo (015)",14275,12156,2119
"Río, acequia, manatial o similar (016)",2001,1109,892
"Vecino (017)",6338,3892,2446
"Otro (018)",1950,927,1023
,,,
"RURAL (020)",11287,4480,6807
"Red pública dentro de la vivienda (021)",1422,1089,333
"Red pública fuera de la vivienda (022)",335,258,77
"Pilón de uso público (023)",485,267,218
"Camión - cisterna u otro similar (024)",321,126,195
"Pozo (025)",5256,1724,3532
"Río, acequia, manatial o similar (026)",3223,924,2299
"Vecino (027)",185,76,109
"Otro (028)",60,16,44
