"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA CONVENCION (000)",163558,3102,55029,42593,31901,22569,8364
"Jefe o Jefa (001)",44497,,216,8891,16271,13751,5368
"Esposa(o) / compañera(o) (002)",26807,,75,8064,10577,6552,1539
"Hijo(a) / hijastro(a) (003)",67617,2299,45053,17576,2300,385,4
"Yerno / nuera (004)",1706,,33,1200,406,66,1
"Nieto(a) (005)",5864,527,4613,694,29,1,
"Padres / suegros (006)",1346,,,,63,397,886
"Otro(a) pariente (007)",10269,224,4175,3594,1202,753,321
"Trabajador(a) del hogar (008)",514,,44,315,88,45,22
"Pensionistas (009)",156,,22,72,39,16,7
"Otro(a) no pariente (010)",4782,52,798,2187,926,603,216
"Hombres (011)",85678,1571,28139,22298,16603,12443,4624
"Jefe o Jefa (012)",33477,,95,6467,12597,10520,3798
"Esposa(o) / compañera(o) (013)",2197,,43,616,847,524,167
"Hijo(a) / hijastro(a) (014)",36165,1152,22962,10434,1386,229,2
"Yerno / nuera (015)",811,,18,488,253,51,1
"Nieto(a) (016)",3089,268,2385,418,17,1,
"Padres / suegros (017)",480,,,,28,138,314
"Otro(a) pariente (018)",5783,124,2181,2157,729,439,153
"Trabajador(a) del hogar (019)",118,,12,62,22,13,9
"Pensionistas (020)",103,,14,46,24,13,6
"Otro(a) no pariente (021)",3455,27,429,1610,700,515,174
"Mujeres (022)",77880,1531,26890,20295,15298,10126,3740
"Jefe o Jefa (023)",11020,,121,2424,3674,3231,1570
"Esposa(o) / compañera(o) (024)",24610,,32,7448,9730,6028,1372
"Hijo(a) / hijastro(a) (025)",31452,1147,22091,7142,914,156,2
"Yerno / nuera (026)",895,,15,712,153,15,
"Nieto(a) (027)",2775,259,2228,276,12,,
"Padres / suegros (028)",866,,,,35,259,572
"Otro(a) pariente (029)",4486,100,1994,1437,473,314,168
"Trabajador(a) del hogar (030)",396,,32,253,66,32,13
"Pensionistas (031)",53,,8,26,15,3,1
"Otro(a) no pariente (032)",1327,25,369,577,226,88,42
,,,,,,,
"URBANA (033)",48050,797,15260,13458,10276,6308,1951
"Jefe o Jefa (034)",14105,,149,3172,5542,4034,1208
"Esposa(o) / compañera(o) (035)",7258,,32,2128,3085,1676,337
"Hijo(a) / hijastro(a) (036)",18907,568,11982,5493,756,106,2
"Yerno / nuera (037)",518,,14,320,162,22,
"Nieto(a) (038)",1727,165,1316,239,7,,
"Padres / suegros (039)",432,,,,21,130,281
"Otro(a) pariente (040)",3458,46,1425,1298,397,208,84
"Trabajador(a) del hogar (041)",203,,22,144,25,6,6
"Pensionistas (042)",71,,13,43,8,6,1
"Otro(a) no pariente (043)",1371,18,307,621,273,120,32
"Hombres (044)",23854,419,7762,6437,4936,3289,1011
"Jefe o Jefa (045)",9298,,60,1904,3714,2805,815
"Esposa(o) / compañera(o) (046)",820,,25,256,303,182,54
"Hijo(a) / hijastro(a) (047)",9814,295,6125,2938,401,55,
"Yerno / nuera (048)",258,,7,133,100,18,
"Nieto(a) (049)",883,88,666,125,4,,
"Padres / suegros (050)",131,,,,8,37,86
"Otro(a) pariente (051)",1803,26,714,690,233,107,33
"Trabajador(a) del hogar (052)",44,,4,25,8,4,3
"Pensionistas (053)",35,,5,22,4,3,1
"Otro(a) no pariente (054)",768,10,156,344,161,78,19
"Mujeres (055)",24196,378,7498,7021,5340,3019,940
"Jefe o Jefa (056)",4807,,89,1268,1828,1229,393
"Esposa(o) / compañera(o) (057)",6438,,7,1872,2782,1494,283
"Hijo(a) / hijastro(a) (058)",9093,273,5857,2555,355,51,2
"Yerno / nuera (059)",260,,7,187,62,4,
"Nieto(a) (060)",844,77,650,114,3,,
"Padres / suegros (061)",301,,,,13,93,195
"Otro(a) pariente (062)",1655,20,711,608,164,101,51
"Trabajador(a) del hogar (063)",159,,18,119,17,2,3
"Pensionistas (064)",36,,8,21,4,3,
"Otro(a) no pariente (065)",603,8,151,277,112,42,13
,,,,,,,
"RURAL (066)",115508,2305,39769,29135,21625,16261,6413
"Jefe o Jefa (067)",30392,,67,5719,10729,9717,4160
"Esposa(o) / compañera(o) (068)",19549,,43,5936,7492,4876,1202
"Hijo(a) / hijastro(a) (069)",48710,1731,33071,12083,1544,279,2
"Yerno / nuera (070)",1188,,19,880,244,44,1
"Nieto(a) (071)",4137,362,3297,455,22,1,
"Padres / suegros (072)",914,,,,42,267,605
"Otro(a) pariente (073)",6811,178,2750,2296,805,545,237
"Trabajador(a) del hogar (074)",311,,22,171,63,39,16
"Pensionistas (075)",85,,9,29,31,10,6
"Otro(a) no pariente (076)",3411,34,491,1566,653,483,184
"Hombres (077)",61824,1152,20377,15861,11667,9154,3613
"Jefe o Jefa (078)",24179,,35,4563,8883,7715,2983
"Esposa(o) / compañera(o) (079)",1377,,18,360,544,342,113
"Hijo(a) / hijastro(a) (080)",26351,857,16837,7496,985,174,2
"Yerno / nuera (081)",553,,11,355,153,33,1
"Nieto(a) (082)",2206,180,1719,293,13,1,
"Padres / suegros (083)",349,,,,20,101,228
"Otro(a) pariente (084)",3980,98,1467,1467,496,332,120
"Trabajador(a) del hogar (085)",74,,8,37,14,9,6
"Pensionistas (086)",68,,9,24,20,10,5
"Otro(a) no pariente (087)",2687,17,273,1266,539,437,155
"Mujeres (088)",53684,1153,19392,13274,9958,7107,2800
"Jefe o Jefa (089)",6213,,32,1156,1846,2002,1177
"Esposa(o) / compañera(o) (090)",18172,,25,5576,6948,4534,1089
"Hijo(a) / hijastro(a) (091)",22359,874,16234,4587,559,105,
"Yerno / nuera (092)",635,,8,525,91,11,
"Nieto(a) (093)",1931,182,1578,162,9,,
"Padres / suegros (094)",565,,,,22,166,377
