"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTABAMBA (000)",11174,2289,330,4697,3009,217,248,115,269
"Jefe o Jefa (001)",3828,822,2,1460,1051,126,143,53,171
"Esposa(o)/ compa¤era(o) (002)",1905,496,3,766,502,37,41,21,39
"Hijo(a)/ hijastro(a) (003)",4186,669,285,1940,1149,38,42,31,32
"Yerno/ nuera (004)",83,7,,26,40,3,5,2,
"Nieto(a) (005)",320,80,25,167,44,1,,1,2
"Padres/ suegros (006)",175,116,,51,7,,,,1
"Otro(a) pariente (007)",494,75,12,227,153,8,7,3,9
"Trabajador(a) del hogar (008)",8,2,,6,,,,,
"Pensionista (009)",16,,,3,11,1,1,,
"Otro(a) no pariente (010)",159,22,3,51,52,3,9,4,15
"Hombres (012)",5654,719,174,2411,1793,142,158,77,180
"Jefe o Jefa (013)",2585,256,1,1062,864,103,113,45,141
"Esposa(o)/ compa¤era(o) (014)",135,13,,41,59,7,4,5,6
"Hijo(a)/ hijastro(a) (015)",2270,358,146,1009,674,20,27,20,16
"Yerno/ nuera (016)",35,1,,11,21,,1,1,
"Nieto(a) (017)",180,42,17,93,26,1,,1,
"Padres/ suegros (018)",44,8,,30,6,,,,
"Otro(a) pariente (019)",291,34,7,124,103,7,7,2,7
"Trabajador(a) del hogar (020)",1,,,1,,,,,
"Pensionista (021)",12,,,1,9,1,1,,
"Otro(a) no pariente (022)",101,7,3,39,31,3,5,3,10
"Mujeres (024)",5520,1570,156,2286,1216,75,90,38,89
"Jefe o Jefa (025)",1243,566,1,398,187,23,30,8,30
"Esposa(o)/ compa¤era(o) (026)",1770,483,3,725,443,30,37,16,33
"Hijo(a)/ hijastro(a) (027)",1916,311,139,931,475,18,15,11,16
"Yerno/ nuera (028)",48,6,,15,19,3,4,1,
"Nieto(a) (029)",140,38,8,74,18,,,,2
"Padres/ suegros (030)",131,108,,21,1,,,,1
"Otro(a) pariente (031)",203,41,5,103,50,1,,1,2
"Trabajador(a) del hogar (032)",7,2,,5,,,,,
"Pensionista (033)",4,,,2,2,,,,
"Otro(a) no pariente (034)",58,15,,12,21,,4,1,5
,,,,,,,,,
"URBANA (036)",7905,1286,254,3187,2421,182,221,104,250
"Jefe o Jefa (037)",2559,430,2,885,808,102,127,49,156
"Esposa(o)/ compa¤era(o) (038)",1345,251,1,536,426,32,39,21,39
"Hijo(a)/ hijastro(a) (039)",3107,418,221,1390,950,35,37,25,31
"Yerno/ nuera (040)",51,1,,12,28,3,5,2,
"Nieto(a) (041)",216,51,17,111,33,1,,1,2
"Padres/ suegros (042)",112,70,,35,6,,,,1
"Otro(a) pariente (043)",378,47,10,175,125,7,6,2,6
"Trabajador(a) del hogar (044)",8,2,,6,,,,,
"Pensionista (045)",3,,,,2,,1,,
"Otro(a) no pariente (046)",126,16,3,37,43,2,6,4,15
"Hombres (048)",3958,399,131,1542,1400,116,138,68,164
"Jefe o Jefa (049)",1689,89,1,596,654,80,99,42,128
