"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia GRAU (000)",6462,52,185,453,639,1249,2442,1442
"De 12 a 14 años (001)",8,,,,,,1,7
"De 15 a 19 años (002)",179,,,,,,115,64
"De 20 a 24 años (003)",541,,,,,3,360,178
"De 25 a 29 años (004)",678,,,,,26,495,157
"De 30 a 34 años (005)",699,,,,,94,497,108
"De 35 a 39 años (006)",677,,,,4,143,446,84
"De 40 a 44 años (007)",617,,,,15,204,326,72
"De 45 a 49 años (008)",556,,,,30,289,164,73
"De 50 y más años (009)",2507,52,185,453,590,490,38,699
"PEA (010)",1391,4,16,61,118,332,540,320
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",36,,,,,,23,13
"De 20 a 24 años (013)",110,,,,,1,62,47
"De 25 a 29 años (014)",172,,,,,11,110,51
"De 30 a 34 años (015)",205,,,,,34,126,45
"De 35 a 39 años (016)",177,,,,,43,101,33
"De 40 a 44 años (017)",174,,,,5,66,78,25
"De 45 a 49 años (018)",145,,,,10,79,32,24
"De 50 y más años (019)",371,4,16,61,103,98,8,81
"Ocupada (020)",1348,4,16,61,118,327,524,298
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",30,,,,,,20,10
"De 20 a 24 años (023)",100,,,,,1,60,39
"De 25 a 29 años (024)",162,,,,,10,106,46
"De 30 a 34 años (025)",199,,,,,33,124,42
"De 35 a 39 años (026)",171,,,,,41,99,31
"De 40 a 44 años (027)",170,,,,5,65,75,25
"De 45 a 49 años (028)",144,,,,10,79,32,23
"De 50 y más años (029)",371,4,16,61,103,98,8,81
"Desocupada (030)",43,,,,,5,16,22
"De 15 a 19 años (032)",6,,,,,,3,3
"De 20 a 24 años (033)",10,,,,,,2,8
"De 25 a 29 años (034)",10,,,,,1,4,5
"De 30 a 34 años (035)",6,,,,,1,2,3
"De 35 a 39 años (036)",6,,,,,2,2,2
"De 40 a 44 años (037)",4,,,,,1,3,
"De 45 a 49 años (038)",1,,,,,,,1
"No PEA (040)",5071,48,169,392,521,917,1902,1122
"De 12 a 14 años (041)",7,,,,,,1,6
"De 15 a 19 años (042)",143,,,,,,92,51
"De 20 a 24 años (043)",431,,,,,2,298,131
"De 25 a 29 años (044)",506,,,,,15,385,106
"De 30 a 34 años (045)",494,,,,,60,371,63
"De 35 a 39 años (046)",500,,,,4,100,345,51
"De 40 a 44 años (047)",443,,,,10,138,248,47
"De 45 a 49 años (048)",411,,,,20,210,132,49
"De 50 y más años (049)",2136,48,169,392,487,392,30,618
,,,,,,,,
"URBANA (060)",2572,26,77,156,234,534,980,565
