"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14153,13579,4252,1563,1351,1250,1952,1414,954,843,574,43647
"De 12 a 14 años (001)",2020,1963,1944,17,2,,,,,,57,21
"De 15 a 19 años (002)",2704,2573,1700,601,189,65,18,,,,131,1246
"De 20 a 24 años (003)",2081,1951,296,480,502,373,251,49,,,130,3989
"De 25 a 29 años (004)",1781,1690,98,209,297,340,503,196,47,,91,5689
"De 30 a 34 años (005)",1278,1244,42,79,129,173,397,287,105,32,34,5719
"De 35 a 39 años (006)",1297,1272,41,56,81,119,308,342,210,115,25,7204
"De 40 a 44 años (007)",786,772,31,27,47,55,165,176,140,131,14,4824
"De 45 a 49 años (008)",687,674,15,28,43,50,115,125,150,148,13,4603
"De 50 y más años (009)",1519,1440,85,66,61,75,195,239,302,417,79,10352
"PEA (010)",5833,5554,1089,737,665,598,995,703,443,324,279,20264
"De 12 a 14 años (011)",254,241,235,5,1,,,,,,13,7
"De 15 a 19 años (012)",910,853,507,229,79,30,8,,,,57,509
"De 20 a 24 años (013)",1027,959,157,220,239,177,135,31,,,68,2005
"De 25 a 29 años (014)",903,845,63,112,139,139,251,115,26,,58,2868
"De 30 a 34 años (015)",633,616,25,47,69,88,177,135,57,18,17,2776
"De 35 a 39 años (016)",667,652,20,38,38,59,165,179,107,46,15,3590
"De 40 a 44 años (017)",429,419,19,20,35,42,93,82,71,57,10,2400
"De 45 a 49 años (018)",349,343,10,21,30,31,63,63,68,57,6,2118
"De 50 y más años (019)",661,626,53,45,35,32,103,98,114,146,35,3991
"Ocupada (020)",5782,5506,1071,729,657,593,992,700,442,322,276,20155
"De 12 a 14 años (021)",247,235,229,5,1,,,,,,12,7
