"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",9695,2145,2387,1953,1784,1426
"Sin nivel (001)",1093,31,44,118,277,623
"Educación inicial (002)",113,105,5,3,,
"Primaria (003)",3688,1570,286,444,755,633
"Secundaria (004)",3435,439,1577,829,458,132
"Superior no univ. incompleta (005)",358,,196,111,42,9
"Superior no univ. completa (006)",571,,189,266,99,17
"Superior univ. incompleta (007)",113,,44,40,28,1
"Superior univ. completa (008)",324,,46,142,125,11
"PEA (010)",4033,70,1148,1266,1060,489
"Sin nivel (011)",309,1,11,48,108,141
"Educación inicial (012)",6,,3,3,,
"Primaria (013)",1067,36,147,228,387,269
"Secundaria (014)",1622,33,680,525,321,63
"Superior no univ. incompleta (015)",232,,107,85,34,6
"Superior no univ. completa (016)",445,,140,218,80,7
"Superior univ. incompleta (017)",77,,24,29,23,1
"Superior univ. completa (018)",275,,36,130,107,2
"Ocupada (020)",3869,69,1076,1214,1031,479
"Sin nivel (021)",304,1,11,47,106,139
"Educación inicial (022)",6,,3,3,,
"Primaria (023)",1026,36,138,215,374,263
"Secundaria (024)",1536,32,634,496,312,62
"Superior no univ. incompleta (025)",217,,98,81,32,6
"Superior no univ. completa (026)",437,,134,217,79,7
"Superior univ. incompleta (027)",74,,24,27,22,1
"Superior univ. completa (028)",269,,34,128,106,1
"Desocupada (030)",164,1,72,52,29,10
"Sin nivel (031)",5,,,1,2,2
"Primaria (033)",41,,9,13,13,6
