"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LA MAR (000)",27397,26875,7595,3440,3060,2570,4160,2882,3168,522
"Católica (001)",19422,19036,5429,2482,2226,1853,2902,1966,2178,386
"Cristiana/Evangélica (002)",7574,7448,2029,882,801,683,1210,883,960,126
"Otra (003)",135,133,48,17,11,9,18,11,19,2
"Ninguna (004)",266,258,89,59,22,25,30,22,11,8
,,,,,,,,,,
"URBANA (006)",11701,11418,3500,1684,1475,1149,1673,1001,936,283
"Católica (007)",8244,8040,2523,1238,1078,813,1143,640,605,204
"Cristiana/Evangélica (008)",3251,3177,905,399,375,316,509,351,322,74
"Otra (009)",71,70,28,11,7,8,2,5,9,1
"Ninguna (010)",135,131,44,36,15,12,19,5,,4
,,,,,,,,,,
"RURAL (012)",15696,15457,4095,1756,1585,1421,2487,1881,2232,239
"Católica (013)",11178,10996,2906,1244,1148,1040,1759,1326,1573,182
"Cristiana/Evangélica (014)",4323,4271,1124,483,426,367,701,532,638,52
"Otra (015)",64,63,20,6,4,1,16,6,10,1
"Ninguna (016)",131,127,45,23,7,13,11,17,11,4
