"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SULLANA (000)",251385,51740,78705,59368,43444,18128
"Sin nivel (001)",17701,1196,1420,3866,5477,5742
"Educación inicial (002)",4366,4153,156,57,,
"Primaria (003)",91971,36066,13881,15923,17495,8606
"Secundaria (004)",84048,10325,40502,20685,10659,1877
"Superior no univ. incompleta (005)",12732,,7054,3763,1613,302
"Superior no univ. completa (006)",19588,,5912,8621,4266,789
"Superior univ. incompleta (007)",9661,,6639,1791,1043,188
"Superior univ. completa (008)",11318,,3141,4662,2891,624
"PEA (010)",99088,1145,32650,36480,24584,4229
"Sin nivel (011)",5413,31,440,1771,2163,1008
"Educación inicial (012)",98,11,56,31,,
"Primaria (013)",25950,683,6148,8113,8861,2145
"Secundaria (014)",36401,420,15717,12989,6749,526
"Superior no univ. incompleta (015)",6241,,2625,2436,1083,97
"Superior no univ. completa (016)",12975,,3733,6214,2825,203
"Superior univ. incompleta (017)",4020,,1871,1306,779,64
"Superior univ. completa (018)",7990,,2060,3620,2124,186
"Ocupada (020)",93468,1058,29751,34917,23680,4062
"Sin nivel (021)",5116,26,385,1665,2070,970
"Educación inicial (022)",92,11,51,30,,
"Primaria (023)",24467,622,5622,7692,8470,2061
"Secundaria (024)",34144,399,14351,12396,6494,504
"Superior no univ. incompleta (025)",5905,,2404,2358,1052,91
"Superior no univ. completa (026)",12318,,3361,6005,2758,194
"Superior univ. incompleta (027)",3789,,1705,1265,757,62
