"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MELGAR",,,,,,,,,
"Viviendas particulares (001)",563,321,70,10,81,3,2,2,74
"Ocupantes presentes (002)",2151,1196,295,39,271,12,9,11,318
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",555,317,69,9,81,3,2,2,72
"Ocupantes presentes (005)",2115,1179,292,36,271,12,9,11,305
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",7,4,1,1,,,,,1
"Ocupantes presentes (014)",25,17,3,3,,,,,2
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,,,,,,,,1
"Ocupantes presentes (017)",11,,,,,,,,11
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",407,219,50,10,69,,2,2,55
"Ocupantes presentes (029)",1565,820,225,39,215,,9,11,246
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",400,215,49,9,69,,2,2,54
"Ocupantes presentes (032)",1540,803,222,36,215,,9,11,244
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",7,4,1,1,,,,,1
"Ocupantes presentes (041)",25,17,3,3,,,,,2
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",156,102,20,,12,3,,,19
"Ocupantes presentes (056)",586,376,70,,56,12,,,72
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",155,102,20,,12,3,,,18
"Ocupantes presentes (059)",575,376,70,,56,12,,,61
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,,,,,,,,1
"Ocupantes presentes (071)",11,,,,,,,,11
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
