"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PUNO (000)",62625,413,18216,22749,9116,3187,1147,359,69,,7369
"Conviviente (001)",15816,91,4621,6138,2363,680,236,50,8,,1629
"Separado(a) (002)",3629,31,1062,1344,608,232,81,17,3,,251
"Casado(a) (003)",30395,184,9470,11768,4642,1612,568,189,32,,1930
"Viudo(a) (004)",6411,77,2218,2271,810,342,146,75,17,,455
"Divorciado(a) (005)",459,5,112,154,80,30,11,1,2,,64
"Soltero(a) (006)",5915,25,733,1074,613,291,105,27,7,,3040
,,,,,,,,,,,
"URBANA (008)",36607,202,8879,12908,6210,2243,858,238,40,,5029
"Conviviente (009)",10445,57,2657,4131,1775,517,185,33,4,,1086
"Separado(a) (010)",2604,20,703,978,464,170,60,14,3,,192
"Casado(a) (011)",15956,73,4071,5973,3011,1125,415,118,18,,1152
"Viudo(a) (012)",2872,35,915,934,406,179,97,54,8,,244
"Divorciado(a) (013)",358,5,79,115,71,24,11,1,2,,50
"Soltero(a) (014)",4372,12,454,777,483,228,90,18,5,,2305
,,,,,,,,,,,
"RURAL (016)",26018,211,9337,9841,2906,944,289,121,29,,2340
"Conviviente (017)",5371,34,1964,2007,588,163,51,17,4,,543
"Separado(a) (018)",1025,11,359,366,144,62,21,3,,,59
"Casado(a) (019)",14439,111,5399,5795,1631,487,153,71,14,,778
"Viudo(a) (020)",3539,42,1303,1337,404,163,49,21,9,,211
"Divorciado(a) (021)",101,,33,39,9,6,,,,,14
"Soltero(a) (022)",1543,13,279,297,130,63,15,9,2,,735
