"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia TAMBOPATA (000)",36745,5093,9610,8338,13704
"Asiste actualmente (001)",23259,2006,9216,7508,4529
"No asiste (002)",13486,3087,394,830,9175
"Hombres (004)",18469,2556,4867,4151,6895
"Asiste actualmente (005)",11624,1015,4664,3712,2233
"No asiste (006)",6845,1541,203,439,4662
"Mujeres (008)",18276,2537,4743,4187,6809
"Asiste actualmente (009)",11635,991,4552,3796,2296
"No asiste (010)",6641,1546,191,391,4513
,,,,,
"URBANA (012)",31036,4224,8181,7182,11449
"Asiste actualmente (013)",20521,1790,7868,6613,4250
"No asiste (014)",10515,2434,313,569,7199
"Hombres (016)",15400,2133,4169,3524,5574
"Asiste actualmente (017)",10219,901,4004,3241,2073
"No asiste (018)",5181,1232,165,283,3501
"Mujeres (020)",15636,2091,4012,3658,5875
"Asiste actualmente (021)",10302,889,3864,3372,2177
"No asiste (022)",5334,1202,148,286,3698
,,,,,
"RURAL (024)",5709,869,1429,1156,2255
"Asiste actualmente (025)",2738,216,1348,895,279
"No asiste (026)",2971,653,81,261,1976
"Hombres (028)",3069,423,698,627,1321
"Asiste actualmente (029)",1405,114,660,471,160
"No asiste (030)",1664,309,38,156,1161
"Mujeres (032)",2640,446,731,529,934
"Asiste actualmente (033)",1333,102,688,424,119
"No asiste (034)",1307,344,43,105,815
