"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAROWILCA (000)",7685,64,3375,2471,699,221,85,44,6,,720
"Catolica (001)",6521,53,2841,2098,595,186,70,38,4,,636
"Cristiana / Evangelica (002)",1134,11,528,362,101,31,15,5,2,,79
"Otra (003)",20,,4,8,2,2,,,,,4
"Ninguna (004)",10,,2,3,1,2,,1,,,1
,,,,,,,,,,,
"URBANA (006)",1898,21,699,620,187,64,35,14,2,,256
"Catolica (007)",1572,19,562,517,156,50,28,12,1,,227
"Cristiana / Evangelica (008)",309,2,133,96,29,12,7,2,1,,27
"Otra (009)",11,,3,5,1,1,,,,,1
"Ninguna (010)",6,,1,2,1,1,,,,,1
,,,,,,,,,,,
"RURAL (012)",5787,43,2676,1851,512,157,50,30,4,,464
"Catolica (013)",4949,34,2279,1581,439,136,42,26,3,,409
"Cristiana / Evangelica (014)",825,9,395,266,72,19,8,3,1,,52
"Otra (015)",9,,1,3,1,1,,,,,3
"Ninguna (016)",4,,1,1,,1,,1,,,
