"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OTUZCO (000)",842,293,549
"De 14 a 29 años (001)",442,210,232
"De 30 a 44 años (002)",234,68,166
"De 45 a 64 años (003)",123,15,108
"De 65 y más años (004)",43,,43
"Hombres (005)",672,230,442
"De 14 a 29 años (006)",328,162,166
"De 30 a 44 años (007)",202,55,147
"De 45 a 64 años (008)",105,13,92
"De 65 y más años (009)",37,,37
"Mujeres (010)",170,63,107
"De 14 a 29 años (011)",114,48,66
"De 30 a 44 años (012)",32,13,19
"De 45 a 64 años (013)",18,2,16
"De 65 y más años (014)",6,,6
,,,
"AREA URBANA (015)",369,113,256
"De 14 a 29 años (016)",199,88,111
"De 30 a 44 años (017)",95,22,73
"De 45 a 64 años (018)",52,3,49
"De 65 y más años (019)",23,,23
"Hombres (020)",276,80,196
"De 14 a 29 años (021)",141,64,77
"De 30 a 44 años (022)",75,14,61
"De 45 a 64 años (023)",41,2,39
"De 65 y más años (024)",19,,19
"Mujeres (025)",93,33,60
"De 14 a 29 años (026)",58,24,34
"De 30 a 44 años (027)",20,8,12
"De 45 a 64 años (028)",11,1,10
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",473,180,293
"De 14 a 29 años (031)",243,122,121
"De 30 a 44 años (032)",139,46,93
"De 45 a 64 años (033)",71,12,59
"De 65 y más años (034)",20,,20
"Hombres (035)",396,150,246
"De 14 a 29 años (036)",187,98,89
"De 30 a 44 años (037)",127,41,86
"De 45 a 64 años (038)",64,11,53
"De 65 y más años (039)",18,,18
"Mujeres (040)",77,30,47
"De 14 a 29 años (041)",56,24,32
"De 30 a 44 años (042)",12,5,7
"De 45 a 64 años (043)",7,1,6
"De 65 y más años (044)",2,,2
