"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia QUISPICANCHI (000)",866,236,630
"De 14 a 29 años (001)",464,182,282
"De 30 a 44 años (002)",229,42,187
"De 45 a 64 años (003)",140,12,128
"De 65 y más años (004)",33,,33
"Hombres (005)",667,170,497
"De 14 a 29 años (006)",332,125,207
"De 30 a 44 años (007)",186,35,151
"De 45 a 64 años (008)",122,10,112
"De 65 y más años (009)",27,,27
"Mujeres (010)",199,66,133
"De 14 a 29 años (011)",132,57,75
"De 30 a 44 años (012)",43,7,36
"De 45 a 64 años (013)",18,2,16
"De 65 y más años (014)",6,,6
,,,
"AREA URBANA (015)",380,94,286
"De 14 a 29 años (016)",194,72,122
"De 30 a 44 años (017)",112,19,93
"De 45 a 64 años (018)",54,3,51
"De 65 y más años (019)",20,,20
"Hombres (020)",270,54,216
"De 14 a 29 años (021)",125,39,86
"De 30 a 44 años (022)",82,13,69
"De 45 a 64 años (023)",47,2,45
"De 65 y más años (024)",16,,16
"Mujeres (025)",110,40,70
"De 14 a 29 años (026)",69,33,36
"De 30 a 44 años (027)",30,6,24
"De 45 a 64 años (028)",7,1,6
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",486,142,344
"De 14 a 29 años (031)",270,110,160
"De 30 a 44 años (032)",117,23,94
"De 45 a 64 años (033)",86,9,77
"De 65 y más años (034)",13,,13
"Hombres (035)",397,116,281
"De 14 a 29 años (036)",207,86,121
"De 30 a 44 años (037)",104,22,82
"De 45 a 64 años (038)",75,8,67
"De 65 y más años (039)",11,,11
"Mujeres (040)",89,26,63
"De 14 a 29 años (041)",63,24,39
"De 30 a 44 años (042)",13,1,12
"De 45 a 64 años (043)",11,1,10
"De 65 y más años (044)",2,,2
