"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANCABAMBA (000)",61763,9312,20269,16561,15621
"Asiste actualmente (001)",38292,3537,18782,12646,3327
"No asiste (002)",23471,5775,1487,3915,12294
"Hombres (004)",31546,4743,10315,8473,8015
"Asiste actualmente (005)",19863,1784,9594,6622,1863
"No asiste (006)",11683,2959,721,1851,6152
"Mujeres (008)",30217,4569,9954,8088,7606
"Asiste actualmente (009)",18429,1753,9188,6024,1464
"No asiste (010)",11788,2816,766,2064,6142
,,,,,
"URBANA (012)",6831,833,1981,2046,1971
"Asiste actualmente (013)",5206,552,1934,1921,799
"No asiste (014)",1625,281,47,125,1172
"Hombres (016)",3453,429,1030,1034,960
"Asiste actualmente (017)",2660,279,1008,982,391
"No asiste (018)",793,150,22,52,569
"Mujeres (020)",3378,404,951,1012,1011
"Asiste actualmente (021)",2546,273,926,939,408
"No asiste (022)",832,131,25,73,603
,,,,,
"RURAL (024)",54932,8479,18288,14515,13650
"Asiste actualmente (025)",33086,2985,16848,10725,2528
"No asiste (026)",21846,5494,1440,3790,11122
"Hombres (028)",28093,4314,9285,7439,7055
"Asiste actualmente (029)",17203,1505,8586,5640,1472
"No asiste (030)",10890,2809,699,1799,5583
"Mujeres (032)",26839,4165,9003,7076,6595
"Asiste actualmente (033)",15883,1480,8262,5085,1056
"No asiste (034)",10956,2685,741,1991,5539
