"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PALPA (000)",3457,2485,972
"Red pública dentro de la vivienda (001)",2405,2030,375
"Red pública fuera de la vivienda (002)",310,207,103
"Pilón de uso público (003)",61,42,19
"Camión - cisterna u otro similar (004)",42,19,23
"Pozo (005)",186,49,137
"Río, acequia, manatial o similar (006)",210,68,142
"Vecino (007)",210,61,149
"Otro (008)",33,9,24
,,,
"URBANA (010)",2192,1813,379
"Red pública dentro de la vivienda (011)",1863,1639,224
"Red pública fuera de la vivienda (012)",135,101,34
"Pilón de uso público (013)",8,4,4
"Camión - cisterna u otro similar (014)",16,14,2
"Pozo (015)",23,15,8
"Río, acequia, manatial o similar (016)",2,,2
"Vecino (017)",122,34,88
"Otro (018)",23,6,17
,,,
"RURAL (020)",1265,672,593
"Red pública dentro de la vivienda (021)",542,391,151
"Red pública fuera de la vivienda (022)",175,106,69
"Pilón de uso público (023)",53,38,15
"Camión - cisterna u otro similar (024)",26,5,21
"Pozo (025)",163,34,129
"Río, acequia, manatial o similar (026)",208,68,140
"Vecino (027)",88,27,61
"Otro (028)",10,3,7
