"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LEONCIO PRADO (000)",101,89,12
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",41,41,
"Casa pensión (003)",4,3,1
"Hospital, clinica (004)",7,3,4
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",3,2,1
"Otro (008)",35,32,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,7,3
