"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TRUJILLO (000)",13161,3077,10084
"Sin nivel (001)",335,51,284
"Educación inicial (002)",13,6,7
"Primaria (003)",2126,340,1786
"Secundaria (004)",4708,1209,3499
"Superior no univ. incompleta (005)",974,227,747
"Superior no univ. completa (006)",1595,329,1266
"Superior univ. incompleta (007)",1209,378,831
"Superior univ. completa (008)",2201,537,1664
"De 14 a 29 años (010)",7151,2501,4650
"Sin nivel (011)",84,34,50
"Educación inicial (012)",11,6,5
"Primaria (013)",816,242,574
"Secundaria (014)",2906,999,1907
"Superior no univ. incompleta (015)",612,200,412
"Superior no univ. completa (016)",822,263,559
"Superior univ. incompleta (017)",877,350,527
"Superior univ. completa (018)",1023,407,616
"De 30 a 44 años (020)",3592,494,3098
"Sin nivel (021)",89,9,80
"Educación inicial (022)",2,,2
"Primaria (023)",597,87,510
"Secundaria (024)",1086,173,913
"Superior no univ. incompleta (025)",245,18,227
"Superior no univ. completa (026)",551,61,490
"Superior univ. incompleta (027)",201,25,176
"Superior univ. completa (028)",821,121,700
"De 45 a 64 años (030)",2070,82,1988
"Sin nivel (031)",114,8,106
"Primaria (033)",555,11,544
"Secundaria (034)",632,37,595
"Superior no univ. incompleta (035)",106,9,97
"Superior no univ. completa (036)",206,5,201
"Superior univ. incompleta (037)",123,3,120
"Superior univ. completa (038)",334,9,325
"De 65 y más años (040)",348,,348
"Sin nivel (041)",48,,48
"Primaria (043)",158,,158
"Secundaria (044)",84,,84
"Superior no univ. incompleta (045)",11,,11
"Superior no univ. completa (046)",16,,16
"Superior univ. incompleta (047)",8,,8
"Superior univ. completa (048)",23,,23
,,,
"AREA URBANA (050)",12888,3022,9866
"Sin nivel (051)",322,47,275
"Educación inicial (052)",13,6,7
"Primaria (053)",2007,319,1688
"Secundaria (054)",4596,1186,3410
"Superior no univ. incompleta (055)",969,226,743
"Superior no univ. completa (056)",1577,323,1254
"Superior univ. incompleta (057)",1209,378,831
"Superior univ. completa (058)",2195,537,1658
"De 14 a 29 años (060)",6987,2451,4536
"Sin nivel (061)",79,32,47
"Educación inicial (062)",11,6,5
"Primaria (063)",747,223,524
"Secundaria (064)",2834,977,1857
"Superior no univ. incompleta (065)",608,199,409
"Superior no univ. completa (066)",810,257,553
"Superior univ. incompleta (067)",877,350,527
"Superior univ. completa (068)",1021,407,614
"De 30 a 44 años (070)",3536,489,3047
"Sin nivel (071)",87,7,80
"Educación inicial (072)",2,,2
"Primaria (073)",574,85,489
"Secundaria (074)",1061,172,889
"Superior no univ. incompleta (075)",244,18,226
"Superior no univ. completa (076)",549,61,488
"Superior univ. incompleta (077)",201,25,176
"Superior univ. completa (078)",818,121,697
"De 45 a 64 años (080)",2026,82,1944
"Sin nivel (081)",109,8,101
"Primaria (083)",535,11,524
"Secundaria (084)",618,37,581
"Superior no univ. incompleta (085)",106,9,97
"Superior no univ. completa (086)",202,5,197
"Superior univ. incompleta (087)",123,3,120
"Superior univ. completa (088)",333,9,324
"De 65 y más años (090)",339,,339
"Sin nivel (091)",47,,47
"Primaria (093)",151,,151
"Secundaria (094)",83,,83
"Superior no univ. incompleta (095)",11,,11
"Superior no univ. completa (096)",16,,16
"Superior univ. incompleta (097)",8,,8
"Superior univ. completa (098)",23,,23
,,,
"AREA RURAL (100)",273,55,218
"Sin nivel (101)",13,4,9
"Primaria (103)",119,21,98
"Secundaria (104)",112,23,89
"Superior no univ. incompleta (105)",5,1,4
"Superior no univ. completa (106)",18,6,12
"Superior univ. completa (108)",6,,6
"De 14 a 29 años (110)",164,50,114
"Sin nivel (111)",5,2,3
"Primaria (113)",69,19,50
"Secundaria (114)",72,22,50
"Superior no univ. incompleta (115)",4,1,3
"Superior no univ. completa (116)",12,6,6
"Superior univ. completa (118)",2,,2
"De 30 a 44 años (120)",56,5,51
"Sin nivel (121)",2,2,
"Primaria (123)",23,2,21
"Secundaria (124)",25,1,24
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",2,,2
"Superior univ. completa (128)",3,,3
"De 45 a 64 años (130)",44,,44
"Sin nivel (131)",5,,5
"Primaria (133)",20,,20
"Secundaria (134)",14,,14
"Superior no univ. completa (136)",4,,4
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",9,,9
"Sin nivel (141)",1,,1
"Primaria (143)",7,,7
"Secundaria (144)",1,,1
