"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONDORCANQUI (000)",10304,1081,551,5672,39,2839,122
"Conviviente (001)",7383,590,357,4378,25,2013,20
"Separado(a) (002)",386,42,23,290,,21,10
"Casado(a) (003)",645,210,24,297,7,99,8
"Viudo(a) (004)",267,7,8,232,1,15,4
"Divorciado(a) (005)",37,9,2,24,,,2
"Soltero(a) (006)",1586,223,137,451,6,691,78
"Hombres (008)",5982,767,460,4078,33,631,13
"Conviviente (009)",4301,473,291,3347,22,167,1
"Separado(a) (010)",139,16,17,98,,8,
"Casado(a) (011)",413,153,18,221,4,16,1
"Viudo(a) (012)",85,4,4,74,1,2,
"Divorciado(a) (013)",15,4,2,9,,,
"Soltero(a) (014)",1029,117,128,329,6,438,11
"Mujeres (016)",4322,314,91,1594,6,2208,109
"Conviviente (017)",3082,117,66,1031,3,1846,19
"Separado(a) (018)",247,26,6,192,,13,10
"Casado(a) (019)",232,57,6,76,3,83,7
"Viudo(a) (020)",182,3,4,158,,13,4
"Divorciado(a) (021)",22,5,,15,,,2
"Soltero(a) (022)",557,106,9,122,,253,67
,,,,,,,
"URBANA (024)",1610,506,177,658,7,165,97
"Conviviente (025)",823,215,104,397,2,87,18
"Separado(a) (026)",63,15,6,34,,2,6
"Casado(a) (027)",278,126,15,106,4,19,8
"Viudo(a) (028)",35,2,2,24,,3,4
"Divorciado(a) (029)",9,5,1,1,,,2
"Soltero(a) (030)",402,143,49,96,1,54,59
"Hombres (032)",1012,344,155,441,4,59,9
"Conviviente (033)",545,161,90,282,1,11,
"Separado(a) (034)",28,8,5,13,,2,
"Casado(a) (035)",181,93,12,67,2,6,1
"Viudo(a) (036)",11,,1,10,,,
"Divorciado(a) (037)",4,3,1,,,,
"Soltero(a) (038)",243,79,46,69,1,40,8
"Mujeres (040)",598,162,22,217,3,106,88
"Conviviente (041)",278,54,14,115,1,76,18
"Separado(a) (042)",35,7,1,21,,,6
"Casado(a) (043)",97,33,3,39,2,13,7
"Viudo(a) (044)",24,2,1,14,,3,4
"Divorciado(a) (045)",5,2,,1,,,2
"Soltero(a) (046)",159,64,3,27,,14,51
,,,,,,,
"RURAL (048)",8694,575,374,5014,32,2674,25
"Conviviente (049)",6560,375,253,3981,23,1926,2
"Separado(a) (050)",323,27,17,256,,19,4
"Casado(a) (051)",367,84,9,191,3,80,
"Viudo(a) (052)",232,5,6,208,1,12,
"Divorciado(a) (053)",28,4,1,23,,,
"Soltero(a) (054)",1184,80,88,355,5,637,19
"Hombres (056)",4970,423,305,3637,29,572,4
"Conviviente (057)",3756,312,201,3065,21,156,1
"Separado(a) (058)",111,8,12,85,,6,
"Casado(a) (059)",232,60,6,154,2,10,
"Viudo(a) (060)",74,4,3,64,1,2,
"Divorciado(a) (061)",11,1,1,9,,,
"Soltero(a) (062)",786,38,82,260,5,398,3
"Mujeres (064)",3724,152,69,1377,3,2102,21
"Conviviente (065)",2804,63,52,916,2,1770,1
"Separado(a) (066)",212,19,5,171,,13,4
"Casado(a) (067)",135,24,3,37,1,70,
"Viudo(a) (068)",158,1,3,144,,10,
"Divorciado(a) (069)",17,3,,14,,,
"Soltero(a) (070)",398,42,6,95,,239,16
