"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SUCRE (000)",3714,2801,482,222,209
"Sin nivel (001)",335,316,18,1,
"Educación inicial (002)",3,2,1,,
"Primaria (003)",1153,1053,78,13,9
"Secundaria (004)",1332,1060,159,42,71
"Superior no univ. incompleta (005)",116,79,17,9,11
"Superior no univ. completa (006)",416,174,113,60,69
"Superior univ. incompleta (007)",70,41,13,11,5
"Superior univ. completa (008)",289,76,83,86,44
"De 06 a 14 años (010)",85,70,12,3,
"Educación inicial (012)",2,1,1,,
"Primaria (013)",56,47,7,2,
"Secundaria (014)",27,22,4,1,
"De 15 a 29 años (020)",891,649,135,55,52
"Sin nivel (021)",6,6,,,
"Primaria (023)",139,121,15,3,
"Secundaria (024)",507,402,70,20,15
"Superior no univ. incompleta (025)",47,33,10,1,3
"Superior no univ. completa (026)",112,53,26,9,24
"Superior univ. incompleta (027)",22,15,3,3,1
"Superior univ. completa (028)",58,19,11,19,9
"De 30 a 44 años (030)",1331,920,202,102,107
"Sin nivel (031)",48,45,3,,
"Educación inicial (032)",1,1,,,
"Primaria (033)",312,283,22,2,5
"Secundaria (034)",510,413,54,11,32
"Superior no univ. incompleta (035)",48,33,4,6,5
"Superior no univ. completa (036)",226,87,65,38,36
"Superior univ. incompleta (037)",28,17,5,2,4
"Superior univ. completa (038)",158,41,49,43,25
"De 45 a 64 años (040)",976,757,113,59,47
"Sin nivel (041)",135,129,6,,
"Primaria (043)",408,376,25,5,2
"Secundaria (044)",253,190,30,9,24
"Superior no univ. incompleta (045)",19,11,3,2,3
"Superior no univ. completa (046)",74,30,22,13,9
"Superior univ. incompleta (047)",17,7,4,6,
"Superior univ. completa (048)",70,14,23,24,9
"De 65 y más años (050)",431,405,20,3,3
"Sin nivel (051)",146,136,9,1,
"Primaria (053)",238,226,9,1,2
"Secundaria (054)",35,33,1,1,
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",4,4,,,
"Superior univ. incompleta (057)",3,2,1,,
"Superior univ. completa (058)",3,2,,,1
,,,,,
"URBANA (060)",2428,1660,399,188,181
"Sin nivel (061)",165,150,14,1,
"Educación inicial (062)",3,2,1,,
"Primaria (063)",622,552,56,8,6
