"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",4193,62,1830,1420,382,123,48,19,3,,306
"Conviviente (001)",1150,12,516,381,111,28,7,3,,,92
"Separado(a) (002)",179,1,67,69,22,7,,2,1,,10
"Casado(a) (003)",2111,27,954,743,181,60,34,9,2,,101
"Viudo(a) (004)",538,18,240,182,39,17,4,4,,,34
"Divorciado(a) (005)",13,,5,3,2,1,,,,,2
"Soltero(a) (006)",202,4,48,42,27,10,3,1,,,67
,,,,,,,,,,,
"URBANA (008)",1139,16,408,374,152,53,22,9,1,,104
"Conviviente (009)",295,5,105,101,40,12,2,1,,,29
"Separado(a) (010)",50,,21,13,9,3,,,1,,3
"Casado(a) (011)",584,3,216,207,75,26,16,4,,,37
"Viudo(a) (012)",124,6,49,34,14,6,2,3,,,10
"Divorciado(a) (013)",5,,2,,2,1,,,,,
"Soltero(a) (014)",81,2,15,19,12,5,2,1,,,25
,,,,,,,,,,,
"RURAL (016)",3054,46,1422,1046,230,70,26,10,2,,202
"Conviviente (017)",855,7,411,280,71,16,5,2,,,63
"Separado(a) (018)",129,1,46,56,13,4,,2,,,7
"Casado(a) (019)",1527,24,738,536,106,34,18,5,2,,64
"Viudo(a) (020)",414,12,191,148,25,11,2,1,,,24
"Divorciado(a) (021)",8,,3,3,,,,,,,2
"Soltero(a) (022)",121,2,33,23,15,5,1,,,,42
