"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN PABLO (000)",8775,8548,2567,1182,1066,790,1095,757,1091,227
"Católica (001)",5934,5775,1722,824,744,552,739,500,694,159
"Cristiana/Evangélica (002)",1770,1726,523,211,180,155,234,160,263,44
"Otra (003)",638,626,185,94,85,50,73,63,76,12
"Ninguna (004)",433,421,137,53,57,33,49,34,58,12
,,,,,,,,,,
"URBANA (006)",1427,1388,423,240,227,159,171,79,89,39
"Católica (007)",1187,1157,352,207,187,137,136,65,73,30
"Cristiana/Evangélica (008)",122,119,39,13,15,13,21,8,10,3
"Otra (009)",94,90,24,17,20,7,12,5,5,4
"Ninguna (010)",24,22,8,3,5,2,2,1,1,2
,,,,,,,,,,
"RURAL (012)",7348,7160,2144,942,839,631,924,678,1002,188
"Católica (013)",4747,4618,1370,617,557,415,603,435,621,129
"Cristiana/Evangélica (014)",1648,1607,484,198,165,142,213,152,253,41
"Otra (015)",544,536,161,77,65,43,61,58,71,8
"Ninguna (016)",409,399,129,50,52,31,47,33,57,10
