"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SATIPO (000)",178656,28604,4559,75894,57523,3428,2855,2136,3657
"Quechua (001)",18433,4006,112,9675,4188,128,108,70,146
"Aymara (002)",264,71,6,114,59,3,4,,7
"Ashaninca (003)",30945,8778,896,16149,4780,147,68,44,83
"Otra lengua nativa (004)",6148,2079,220,3153,628,23,13,12,20
"Castellano (005)",122661,13523,3321,46777,47857,3125,2661,2010,3387
"Idioma extranjero (006)",19,1,,1,1,1,1,,14
"Es sordomudo/a (007)",186,146,4,25,10,1,,,
"Hombres (009)",96093,12572,2311,39976,34414,1927,1535,1246,2112
"Quechua (010)",10248,1241,61,5541,3060,101,80,53,111
"Aymara (011)",165,37,3,72,42,3,4,,4
"Ashaninca (012)",15858,3881,444,8342,2951,105,43,29,63
"Otra lengua nativa (013)",3092,871,115,1657,406,15,6,6,16
"Castellano (014)",66609,6451,1687,24351,27948,1702,1401,1158,1911
"Idioma extranjero (015)",11,1,,1,,1,1,,7
"Es sordomudo/a (016)",110,90,1,12,7,,,,
"Mujeres (018)",82563,16032,2248,35918,23109,1501,1320,890,1545
"Quechua (019)",8185,2765,51,4134,1128,27,28,17,35
"Aymara (020)",99,34,3,42,17,,,,3
"Ashaninca (021)",15087,4897,452,7807,1829,42,25,15,20
"Otra lengua nativa (022)",3056,1208,105,1496,222,8,7,6,4
"Castellano (023)",56052,7072,1634,22426,19909,1423,1260,852,1476
"Idioma extranjero (024)",8,,,,1,,,,7
"Es sordomudo/a (025)",76,56,3,13,3,1,,,
,,,,,,,,,
"URBANA (027)",50236,4563,1380,16201,20040,1910,1984,1464,2694
"Quechua (028)",3320,731,11,1616,756,50,54,30,72
"Aymara (029)",48,6,2,25,9,,3,,3
"Ashaninca (030)",2124,346,70,947,661,35,17,13,35
"Otra lengua nativa (031)",139,13,1,45,58,9,4,5,4
"Castellano (032)",44560,3442,1294,13562,18552,1816,1906,1416,2572
"Idioma extranjero (033)",9,,,,1,,,,8
"Es sordomudo/a (034)",36,25,2,6,3,,,,
"Hombres (036)",25781,1926,684,7741,11017,1016,1025,852,1520
"Quechua (037)",1663,148,3,837,524,40,34,20,57
"Aymara (038)",30,2,1,18,5,,3,,1
"Ashaninca (039)",1068,132,30,435,393,28,8,10,32
"Otra lengua nativa (040)",72,7,1,22,27,8,1,2,4
"Castellano (041)",22925,1625,649,6426,10065,940,979,820,1421
"Idioma extranjero (042)",5,,,,,,,,5
"Es sordomudo/a (043)",18,12,,3,3,,,,
"Mujeres (045)",24455,2637,696,8460,9023,894,959,612,1174
"Quechua (046)",1657,583,8,779,232,10,20,10,15
"Aymara (047)",18,4,1,7,4,,,,2
"Ashaninca (048)",1056,214,40,512,268,7,9,3,3
"Otra lengua nativa (049)",67,6,,23,31,1,3,3,
"Castellano (050)",21635,1817,645,7136,8487,876,927,596,1151
"Idioma extranjero (051)",4,,,,1,,,,3
"Es sordomudo/a (052)",18,13,2,3,,,,,
,,,,,,,,,
"RURAL (054)",128420,24041,3179,59693,37483,1518,871,672,963
"Quechua (055)",15113,3275,101,8059,3432,78,54,40,74
"Aymara (056)",216,65,4,89,50,3,1,,4
"Ashaninca (057)",28821,8432,826,15202,4119,112,51,31,48
"Otra lengua nativa (058)",6009,2066,219,3108,570,14,9,7,16
"Castellano (059)",78101,10081,2027,33215,29305,1309,755,594,815
"Idioma extranjero (060)",10,1,,1,,1,1,,6
"Es sordomudo/a (061)",150,121,2,19,7,1,,,
"Hombres (063)",70312,10646,1627,32235,23397,911,510,394,592
"Quechua (064)",8585,1093,58,4704,2536,61,46,33,54
"Aymara (065)",135,35,2,54,37,3,1,,3
"Ashaninca (066)",14790,3749,414,7907,2558,77,35,19,31
"Otra lengua nativa (067)",3020,864,114,1635,379,7,5,4,12
"Castellano (068)",43684,4826,1038,17925,17883,762,422,338,490
"Idioma extranjero (069)",6,1,,1,,1,1,,2
"Es sordomudo/a (070)",92,78,1,9,4,,,,
"Mujeres (072)",58108,13395,1552,27458,14086,607,361,278,371
"Quechua (073)",6528,2182,43,3355,896,17,8,7,20
"Aymara (074)",81,30,2,35,13,,,,1
"Ashaninca (075)",14031,4683,412,7295,1561,35,16,12,17
"Otra lengua nativa (076)",2989,1202,105,1473,191,7,4,3,4
"Castellano (077)",34417,5255,989,15290,11422,547,333,256,325
"Idioma extranjero (078)",4,,,,,,,,4
"Es sordomudo/a (079)",58,43,1,10,3,1,,,
