"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SULLANA (000)",111,97,14
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",51,51,
"Casa pensión (003)",6,6,
"Hospital, clinica (004)",8,5,3
"Cárcel, centro de readaptación social (005)",2,2,
"Otro (008)",30,19,11
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",14,14,
