"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAHUAMANU (000)",2312,70,1105,635,192,52,19,8,1,,230
"Catolica (001)",1764,57,850,463,154,45,15,4,1,,175
"Cristiana / Evangelica (002)",285,8,151,79,13,4,2,3,,,25
"Otra (003)",222,3,86,82,23,3,2,1,,,22
"Ninguna (004)",41,2,18,11,2,,,,,,8
,,,,,,,,,,,
"URBANA (006)",1681,52,780,459,158,43,14,6,1,,168
"Catolica (007)",1390,42,638,376,138,41,13,4,1,,137
"Cristiana / Evangelica (008)",181,6,96,50,9,1,1,1,,,17
"Otra (009)",71,2,29,23,9,1,,1,,,6
"Ninguna (010)",39,2,17,10,2,,,,,,8
,,,,,,,,,,,
"RURAL (012)",631,18,325,176,34,9,5,2,,,62
"Catolica (013)",374,15,212,87,16,4,2,,,,38
"Cristiana / Evangelica (014)",104,2,55,29,4,3,1,2,,,8
"Otra (015)",151,1,57,59,14,2,2,,,,16
"Ninguna (016)",2,,1,1,,,,,,,
