"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YUNGAY (000)",51656,13816,1428,22936,8942,1122,1973,553,886
"Quechua (001)",37806,12180,871,18386,4978,434,647,112,198
"Aymara (002)",30,7,2,14,5,,1,1,
"Ashaninca (003)",2,,,1,1,,,,
"Otra lengua nativa (004)",4,1,1,2,,,,,
"Castellano (005)",13678,1511,554,4527,3955,685,1324,440,682
"Idioma extranjero (006)",10,,,,1,2,1,,6
"Es sordomudo/a (007)",126,117,,6,2,1,,,
"Hombres (009)",25411,4725,660,12264,5254,616,1041,316,535
"Quechua (010)",18232,3943,390,9936,3059,282,397,78,147
"Aymara (011)",11,2,2,5,1,,1,,
"Ashaninca (012)",2,,,1,1,,,,
"Otra lengua nativa (013)",1,,,1,,,,,
"Castellano (014)",7101,725,268,2318,2191,333,643,238,385
"Idioma extranjero (015)",4,,,,,1,,,3
"Es sordomudo/a (016)",60,55,,3,2,,,,
"Mujeres (018)",26245,9091,768,10672,3688,506,932,237,351
"Quechua (019)",19574,8237,481,8450,1919,152,250,34,51
"Aymara (020)",19,5,,9,4,,,1,
"Otra lengua nativa (022)",3,1,1,1,,,,,
"Castellano (023)",6577,786,286,2209,1764,352,681,202,297
"Idioma extranjero (024)",6,,,,1,1,1,,3
"Es sordomudo/a (025)",66,62,,3,,1,,,
,,,,,,,,,
"URBANA (027)",12611,1722,367,4145,3271,664,1354,409,679
"Quechua (028)",4516,975,42,1932,928,168,319,55,97
"Aymara (029)",8,2,,3,2,,,1,
"Otra lengua nativa (031)",2,,,2,,,,,
"Castellano (032)",8061,726,325,2207,2340,496,1035,353,579
"Idioma extranjero (033)",3,,,,,,,,3
"Es sordomudo/a (034)",21,19,,1,1,,,,
"Hombres (036)",6343,610,174,2064,1857,348,669,231,390
"Quechua (037)",2159,257,23,953,539,108,172,37,70
"Aymara (038)",3,1,,1,1,,,,
"Otra lengua nativa (040)",1,,,1,,,,,
"Castellano (041)",4165,340,151,1108,1316,240,497,194,319
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",14,12,,1,1,,,,
"Mujeres (045)",6268,1112,193,2081,1414,316,685,178,289
"Quechua (046)",2357,718,19,979,389,60,147,18,27
"Aymara (047)",5,1,,2,1,,,1,
"Otra lengua nativa (049)",1,,,1,,,,,
"Castellano (050)",3896,386,174,1099,1024,256,538,159,260
"Idioma extranjero (051)",2,,,,,,,,2
"Es sordomudo/a (052)",7,7,,,,,,,
,,,,,,,,,
"RURAL (054)",39045,12094,1061,18791,5671,458,619,144,207
"Quechua (055)",33290,11205,829,16454,4050,266,328,57,101
"Aymara (056)",22,5,2,11,3,,1,,
"Ashaninca (057)",2,,,1,1,,,,
"Otra lengua nativa (058)",2,1,1,,,,,,
"Castellano (059)",5617,785,229,2320,1615,189,289,87,103
"Idioma extranjero (060)",7,,,,1,2,1,,3
"Es sordomudo/a (061)",105,98,,5,1,1,,,
"Hombres (063)",19068,4115,486,10200,3397,268,372,85,145
"Quechua (064)",16073,3686,367,8983,2520,174,225,41,77
"Aymara (065)",8,1,2,4,,,1,,
"Ashaninca (066)",2,,,1,1,,,,
"Castellano (068)",2936,385,117,1210,875,93,146,44,66
"Idioma extranjero (069)",3,,,,,1,,,2
"Es sordomudo/a (070)",46,43,,2,1,,,,
"Mujeres (072)",19977,7979,575,8591,2274,190,247,59,62
"Quechua (073)",17217,7519,462,7471,1530,92,103,16,24
"Aymara (074)",14,4,,7,3,,,,
"Otra lengua nativa (076)",2,1,1,,,,,,
"Castellano (077)",2681,400,112,1110,740,96,143,43,37
"Idioma extranjero (078)",4,,,,1,1,1,,1
"Es sordomudo/a (079)",59,55,,3,,1,,,
