"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SAN MARCOS (000)",29267,11626,142,555,15067,550,16,85,,1226
"Hombres (001)",10289,6187,95,434,2445,287,10,50,,781
"Mujeres (002)",18978,5439,47,121,12622,263,6,35,,445
"De 06 a 14 años (003)",10136,9030,,,513,247,,15,,331
"Hombres (004)",5123,4669,,,166,124,,12,,152
"Mujeres (005)",5013,4361,,,347,123,,3,,179
"De 15 a 29 años (006)",7840,2502,3,170,4802,,4,19,,340
"Hombres (007)",2637,1469,2,132,807,,3,11,,213
"Mujeres (008)",5203,1033,1,38,3995,,1,8,,127
"De 30 a 44 años (009)",4644,68,12,141,4204,,7,20,,192
"Hombres (010)",930,34,8,115,613,,4,12,,144
"Mujeres (011)",3714,34,4,26,3591,,3,8,,48
"De 45 a 64 años (012)",3986,20,34,138,3580,6,4,13,,191
"Hombres (013)",820,12,24,108,508,3,2,5,,158
"Mujeres (014)",3166,8,10,30,3072,3,2,8,,33
"De 65 y más años (015)",2661,6,93,106,1968,297,1,18,,172
"Hombres (016)",779,3,61,79,351,160,1,10,,114
"Mujeres (017)",1882,3,32,27,1617,137,,8,,58
,,,,,,,,,,
"AREA URBANA (018)",5885,2731,69,116,2649,109,3,23,,185
"Hombres (019)",2227,1454,45,64,493,54,2,14,,101
"Mujeres (020)",3658,1277,24,52,2156,55,1,9,,84
"De 06 a 14 años (021)",1882,1770,,,66,21,,6,,19
"Hombres (022)",1007,954,,,28,10,,5,,10
"Mujeres (023)",875,816,,,38,11,,1,,9
"De 15 a 29 años (024)",1723,923,1,24,705,,1,6,,63
"Hombres (025)",655,480,,9,124,,1,4,,37
"Mujeres (026)",1068,443,1,15,581,,,2,,26
"De 30 a 44 años (027)",837,32,3,21,739,,1,8,,33
"Hombres (028)",159,15,1,14,110,,1,5,,13
"Mujeres (029)",678,17,2,7,629,,,3,,20
"De 45 a 64 años (030)",804,6,22,28,702,,1,,,45
"Hombres (031)",188,5,15,15,124,,,,,29
"Mujeres (032)",616,1,7,13,578,,1,,,16
"De 65 y más años (033)",639,,43,43,437,88,,3,,25
"Hombres (034)",218,,29,26,107,44,,,,12
"Mujeres (035)",421,,14,17,330,44,,3,,13
,,,,,,,,,,
"AREA RURAL (036)",23382,8895,73,439,12418,441,13,62,,1041
"Hombres (037)",8062,4733,50,370,1952,233,8,36,,680
"Mujeres (038)",15320,4162,23,69,10466,208,5,26,,361
"De 06 a 14 años (039)",8254,7260,,,447,226,,9,,312
"Hombres (040)",4116,3715,,,138,114,,7,,142
"Mujeres (041)",4138,3545,,,309,112,,2,,170
"De 15 a 29 años (042)",6117,1579,2,146,4097,,3,13,,277
"Hombres (043)",1982,989,2,123,683,,2,7,,176
"Mujeres (044)",4135,590,,23,3414,,1,6,,101
"De 30 a 44 años (045)",3807,36,9,120,3465,,6,12,,159
"Hombres (046)",771,19,7,101,503,,3,7,,131
"Mujeres (047)",3036,17,2,19,2962,,3,5,,28
"De 45 a 64 años (048)",3182,14,12,110,2878,6,3,13,,146
"Hombres (049)",632,7,9,93,384,3,2,5,,129
"Mujeres (050)",2550,7,3,17,2494,3,1,8,,17
"De 65 y más años (051)",2022,6,50,63,1531,209,1,15,,147
"Hombres (052)",561,3,32,53,244,116,1,10,,102
"Mujeres (053)",1461,3,18,10,1287,93,,5,,45
