"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LEONCIO PRADO (000)",109292,14418,2290,44198,34062,2722,2888,4265,4449
"Quechua (001)",8990,3043,43,4697,995,46,49,47,70
"Aymara (002)",78,16,5,23,22,5,3,2,2
"Ashaninca (003)",30,2,6,16,6,,,,
"Otra lengua nativa (004)",82,11,1,32,29,3,1,3,2
"Castellano (005)",99915,11215,2228,39396,32996,2667,2831,4210,4372
"Idioma extranjero (006)",19,1,,3,7,1,2,2,3
"Es sordomudo/a (007)",178,130,7,31,7,,2,1,
"Hombres (009)",57213,6015,1186,23523,18862,1373,1404,2371,2479
"Quechua (010)",4692,930,23,2865,712,38,35,36,53
"Aymara (011)",39,4,3,11,12,3,3,1,2
"Ashaninca (012)",14,,2,10,2,,,,
"Otra lengua nativa (013)",45,7,,14,16,2,1,3,2
"Castellano (014)",52316,5009,1154,20597,18115,1329,1364,2328,2420
"Idioma extranjero (015)",10,,,1,3,1,1,2,2
"Es sordomudo/a (016)",97,65,4,25,2,,,1,
"Mujeres (018)",52079,8403,1104,20675,15200,1349,1484,1894,1970
"Quechua (019)",4298,2113,20,1832,283,8,14,11,17
"Aymara (020)",39,12,2,12,10,2,,1,
"Ashaninca (021)",16,2,4,6,4,,,,
"Otra lengua nativa (022)",37,4,1,18,13,1,,,
"Castellano (023)",47599,6206,1074,18799,14881,1338,1467,1882,1952
"Idioma extranjero (024)",9,1,,2,4,,1,,1
"Es sordomudo/a (025)",81,65,3,6,5,,2,,
,,,,,,,,,
"URBANA (027)",64565,5471,1452,20619,23871,2318,2628,3993,4213
"Quechua (028)",2720,706,9,1346,485,33,42,37,62
"Aymara (029)",53,9,2,15,16,4,3,2,2
"Ashaninca (030)",17,1,3,11,2,,,,
"Otra lengua nativa (031)",34,2,,14,10,2,1,3,2
"Castellano (032)",61640,4695,1434,19213,23348,2278,2578,3949,4145
"Idioma extranjero (033)",17,1,,3,7,1,2,1,2
"Es sordomudo/a (034)",84,57,4,17,3,,2,1,
"Hombres (036)",32283,2228,745,9860,12524,1135,1256,2191,2344
"Quechua (037)",1287,132,4,709,309,27,30,28,48
"Aymara (038)",25,,2,8,7,2,3,1,2
"Ashaninca (039)",6,,,6,,,,,
"Otra lengua nativa (040)",24,1,,9,7,1,1,3,2
"Castellano (041)",30887,2067,736,9114,12198,1104,1221,2157,2290
"Idioma extranjero (042)",9,,,1,3,1,1,1,2
"Es sordomudo/a (043)",45,28,3,13,,,,1,
"Mujeres (045)",32282,3243,707,10759,11347,1183,1372,1802,1869
"Quechua (046)",1433,574,5,637,176,6,12,9,14
"Aymara (047)",28,9,,7,9,2,,1,
"Ashaninca (048)",11,1,3,5,2,,,,
"Otra lengua nativa (049)",10,1,,5,3,1,,,
"Castellano (050)",30753,2628,698,10099,11150,1174,1357,1792,1855
"Idioma extranjero (051)",8,1,,2,4,,1,,
"Es sordomudo/a (052)",39,29,1,4,3,,2,,
,,,,,,,,,
"RURAL (054)",44727,8947,838,23579,10191,404,260,272,236
"Quechua (055)",6270,2337,34,3351,510,13,7,10,8
"Aymara (056)",25,7,3,8,6,1,,,
"Ashaninca (057)",13,1,3,5,4,,,,
"Otra lengua nativa (058)",48,9,1,18,19,1,,,
"Castellano (059)",38275,6520,794,20183,9648,389,253,261,227
"Idioma extranjero (060)",2,,,,,,,1,1
"Es sordomudo/a (061)",94,73,3,14,4,,,,
"Hombres (063)",24930,3787,441,13663,6338,238,148,180,135
"Quechua (064)",3405,798,19,2156,403,11,5,8,5
"Aymara (065)",14,4,1,3,5,1,,,
"Ashaninca (066)",8,,2,4,2,,,,
"Otra lengua nativa (067)",21,6,,5,9,1,,,
"Castellano (068)",21429,2942,418,11483,5917,225,143,171,130
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",52,37,1,12,2,,,,
"Mujeres (072)",19797,5160,397,9916,3853,166,112,92,101
"Quechua (073)",2865,1539,15,1195,107,2,2,2,3
"Aymara (074)",11,3,2,5,1,,,,
"Ashaninca (075)",5,1,1,1,2,,,,
"Otra lengua nativa (076)",27,3,1,13,10,,,,
"Castellano (077)",16846,3578,376,8700,3731,164,110,90,97
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",42,36,2,2,2,,,,
