"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAROCHIRI (000)",32612,346,10407,11337,8005,2517
"Empleado (001)",5476,18,1879,2265,1228,86
"Obrero (002)",8912,45,3688,3292,1634,253
"Trabajador independiente (003)",13680,63,3160,4515,4122,1820
"Empleador o patrono (004)",451,,90,158,155,48
"Trabajador familiar no remunerado (005)",3281,204,1235,839,717,286
"Trabajador del hogar (006)",812,16,355,268,149,24
"Hombres (008)",22181,192,7242,7770,5296,1681
"Empleado (009)",3111,10,955,1279,796,71
"Obrero (010)",7948,37,3322,2964,1426,199
"Trabajador independiente (011)",9416,35,2169,3129,2783,1300
"Empleador o patrono (012)",315,,62,107,108,38
"Trabajador familiar no remunerado (013)",1359,109,719,283,175,73
"Trabajador del hogar (014)",32,1,15,8,8,
"Mujeres (016)",10431,154,3165,3567,2709,836
"Empleado (017)",2365,8,924,986,432,15
"Obrero (018)",964,8,366,328,208,54
"Trabajador independiente (019)",4264,28,991,1386,1339,520
"Empleador o patrono (020)",136,,28,51,47,10
"Trabajador familiar no remunerado (021)",1922,95,516,556,542,213
"Trabajador del hogar (022)",780,15,340,260,141,24
,,,,,,
"URBANA (024)",21279,202,6507,7533,5405,1632
"Empleado (025)",4451,14,1488,1851,1024,74
"Obrero (026)",5145,28,2079,1903,973,162
"Trabajador independiente (027)",8942,33,2003,3001,2737,1168
"Empleador o patrono (028)",291,,55,96,109,31
"Trabajador familiar no remunerado (029)",1871,116,634,491,449,181
"Trabajador del hogar (030)",579,11,248,191,113,16
"Hombres (032)",13689,115,4278,4840,3397,1059
"Empleado (033)",2429,9,716,1002,641,61
"Obrero (034)",4510,25,1846,1679,836,124
"Trabajador independiente (035)",5825,18,1314,1953,1739,801
"Empleador o patrono (036)",190,,38,58,71,23
"Trabajador familiar no remunerado (037)",713,62,352,145,104,50
"Trabajador del hogar (038)",22,1,12,3,6,
"Mujeres (040)",7590,87,2229,2693,2008,573
"Empleado (041)",2022,5,772,849,383,13
"Obrero (042)",635,3,233,224,137,38
"Trabajador independiente (043)",3117,15,689,1048,998,367
"Empleador o patrono (044)",101,,17,38,38,8
"Trabajador familiar no remunerado (045)",1158,54,282,346,345,131
"Trabajador del hogar (046)",557,10,236,188,107,16
,,,,,,
"RURAL (048)",11333,144,3900,3804,2600,885
"Empleado (049)",1025,4,391,414,204,12
"Obrero (050)",3767,17,1609,1389,661,91
"Trabajador independiente (051)",4738,30,1157,1514,1385,652
"Empleador o patrono (052)",160,,35,62,46,17
"Trabajador familiar no remunerado (053)",1410,88,601,348,268,105
"Trabajador del hogar (054)",233,5,107,77,36,8
"Hombres (056)",8492,77,2964,2930,1899,622
"Empleado (057)",682,1,239,277,155,10
"Obrero (058)",3438,12,1476,1285,590,75
"Trabajador independiente (059)",3591,17,855,1176,1044,499
"Empleador o patrono (060)",125,,24,49,37,15
"Trabajador familiar no remunerado (061)",646,47,367,138,71,23
"Trabajador del hogar (062)",10,,3,5,2,
"Mujeres (064)",2841,67,936,874,701,263
"Empleado (065)",343,3,152,137,49,2
"Obrero (066)",329,5,133,104,71,16
"Trabajador independiente (067)",1147,13,302,338,341,153
"Empleador o patrono (068)",35,,11,13,9,2
"Trabajador familiar no remunerado (069)",764,41,234,210,197,82
"Trabajador del hogar (070)",223,5,104,72,34,8
