"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUNO (000)",99739,1213,29185,34232,26676,8433
"Agric., ganadería, caza y silvicultura (001)",33994,502,7611,8951,10516,6414
"Pesca (002)",775,14,299,266,157,39
"Explotación de minas y canteras (003)",501,,223,203,69,6
"Industrias manufactureras (004)",7718,114,2808,2802,1680,314
"Suministro de electricidad, gas y agua (005)",228,,61,95,69,3
"Construcción (006)",4699,22,1386,1912,1200,179
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",11773,252,3340,4293,3199,689
"Venta, mant.y rep. veh.autom.y motoc. (008)",866,9,350,317,176,14
"Comercio al por mayor (009)",426,3,139,190,79,15
"Comercio al por menor (010)",10481,240,2851,3786,2944,660
"Hoteles y restaurantes (011)",3452,96,1420,1130,728,78
"Trans., almac. y comunicaciones (012)",6206,82,2657,2153,1197,117
"Intermediación financiera (013)",486,,185,226,74,1
"Activid.inmobil., empres. y alquileres (014)",2967,,1072,1229,617,49
"Admin.pub. y defensa; p. segur.soc afil (015)",5800,,1531,2503,1707,59
"Enseñanza (016)",8218,,1027,4260,2843,88
"Servicios sociales y de salud (017)",2388,,428,1026,909,25
"Otras activ. serv.comun.soc y personales (018)",1999,48,870,646,381,54
"Hogares privados con servicio doméstico (019)",1030,44,609,227,132,18
"Organiz. y organos extraterritoriales (020)",10,,,6,4,
"Actividad economica no especificada (021)",1436,7,498,446,345,140
"Desocupado (022)",6059,32,3160,1858,849,160
"Hombres (023)",56504,649,16116,19249,15428,5062
"Agric., ganadería, caza y silvicultura (024)",18867,259,3980,5005,5754,3869
"Pesca (025)",574,11,212,199,121,31
"Explotación de minas y canteras (026)",480,,216,193,65,6
"Industrias manufactureras (027)",3174,55,1217,1031,702,169
"Suministro de electricidad, gas y agua (028)",190,,48,83,56,3
"Construcción (029)",4595,21,1348,1867,1181,178
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",4044,124,1245,1408,1030,237
"Venta, mant.y rep. veh.autom.y motoc. (031)",762,9,297,283,161,12
"Comercio al por mayor (032)",211,3,77,89,37,5
"Comercio al por menor (033)",3071,112,871,1036,832,220
"Hoteles y restaurantes (034)",1264,44,590,376,222,32
"Trans., almac. y comunicaciones (035)",5294,74,2170,1875,1073,102
"Intermediación financiera (036)",272,,82,133,56,1
"Activid.inmobil., empres. y alquileres (037)",2139,,717,903,474,45
