"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CELENDIN (000)",25346,700,8631,8072,5829,2114
"Empleado (001)",2766,18,827,1324,573,24
"Obrero (002)",3391,67,1357,1038,710,219
"Trabajador independiente (003)",13533,138,3590,4472,3766,1567
"Empleador o patrono (004)",334,2,96,103,97,36
"Trabajador familiar no remunerado (005)",3124,301,1692,615,364,152
"Trabajador del hogar (006)",718,52,313,181,127,45
"Desocupado (008)",1480,122,756,339,192,71
"Hombres (009)",19235,491,6534,6012,4498,1700
"Empleado (010)",1462,13,426,679,333,11
"Obrero (011)",2909,58,1177,879,608,187
"Trabajador independiente (012)",11058,89,2874,3686,3095,1314
"Empleador o patrono (013)",287,2,79,90,84,32
"Trabajador familiar no remunerado (014)",2397,240,1437,409,216,95
"Trabajador del hogar (015)",31,7,9,7,5,3
"Desocupado (017)",1091,82,532,262,157,58
"Mujeres (018)",6111,209,2097,2060,1331,414
"Empleado (019)",1304,5,401,645,240,13
"Obrero (020)",482,9,180,159,102,32
"Trabajador independiente (021)",2475,49,716,786,671,253
"Empleador o patrono (022)",47,,17,13,13,4
"Trabajador familiar no remunerado (023)",727,61,255,206,148,57
"Trabajador del hogar (024)",687,45,304,174,122,42
"Desocupado (026)",389,40,224,77,35,13
,,,,,,
"URBANA (027)",7664,158,2404,2715,1832,555
"Empleado (028)",2294,16,656,1103,501,18
"Obrero (029)",923,26,373,284,191,49
"Trabajador independiente (030)",3150,28,799,999,922,402
"Empleador o patrono (031)",84,,23,29,22,10
"Trabajador familiar no remunerado (032)",427,41,161,111,76,38
"Trabajador del hogar (033)",330,33,161,64,54,18
"Desocupado (035)",456,14,231,125,66,20
"Hombres (036)",4691,104,1479,1611,1127,370
"Empleado (037)",1181,11,332,539,289,10
"Obrero (038)",822,25,337,253,164,43
"Trabajador independiente (039)",2056,25,540,654,567,270
"Empleador o patrono (040)",59,,15,21,17,6
"Trabajador familiar no remunerado (041)",239,28,107,49,33,22
"Trabajador del hogar (042)",12,6,3,,2,1
"Desocupado (044)",322,9,145,95,55,18
"Mujeres (045)",2973,54,925,1104,705,185
"Empleado (046)",1113,5,324,564,212,8
"Obrero (047)",101,1,36,31,27,6
"Trabajador independiente (048)",1094,3,259,345,355,132
"Empleador o patrono (049)",25,,8,8,5,4
"Trabajador familiar no remunerado (050)",188,13,54,62,43,16
"Trabajador del hogar (051)",318,27,158,64,52,17
"Desocupado (053)",134,5,86,30,11,2
,,,,,,
"RURAL (054)",17682,542,6227,5357,3997,1559
"Empleado (055)",472,2,171,221,72,6
"Obrero (056)",2468,41,984,754,519,170
"Trabajador independiente (057)",10383,110,2791,3473,2844,1165
"Empleador o patrono (058)",250,2,73,74,75,26
"Trabajador familiar no remunerado (059)",2697,260,1531,504,288,114
"Trabajador del hogar (060)",388,19,152,117,73,27
"Desocupado (062)",1024,108,525,214,126,51
"Hombres (063)",14544,387,5055,4401,3371,1330
"Empleado (064)",281,2,94,140,44,1
"Obrero (065)",2087,33,840,626,444,144
"Trabajador independiente (066)",9002,64,2334,3032,2528,1044
"Empleador o patrono (067)",228,2,64,69,67,26
"Trabajador familiar no remunerado (068)",2158,212,1330,360,183,73
"Trabajador del hogar (069)",19,1,6,7,3,2
"Desocupado (071)",769,73,387,167,102,40
"Mujeres (072)",3138,155,1172,956,626,229
"Empleado (073)",191,,77,81,28,5
"Obrero (074)",381,8,144,128,75,26
"Trabajador independiente (075)",1381,46,457,441,316,121
"Empleador o patrono (076)",22,,9,5,8,
"Trabajador familiar no remunerado (077)",539,48,201,144,105,41
"Trabajador del hogar (078)",369,18,146,110,70,25
"Desocupado (080)",255,35,138,47,24,11
