"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OCROS (000)",2566,28,873,926,326,113,47,19,2,,232
"Sin Nivel (001)",368,9,139,122,42,14,10,2,,,30
"Educación Inicial (002)",1,,,,,,,,,,1
"Primaria (003)",1242,16,483,442,141,44,26,11,2,,77
"Secundaria (004)",669,2,201,267,78,36,5,3,,,77
"Sup. no Univ. Incompleta (005)",57,1,10,25,11,1,,1,,,8
"Sup. no Univ. Completa (006)",90,,12,35,23,2,,2,,,16
"Sup. Univ. Incompleta (007)",36,,10,8,4,3,1,,,,10
"Sup. Univ. Completa (008)",103,,18,27,27,13,5,,,,13
,,,,,,,,,,,
"URBANA (010)",1532,12,497,563,210,77,35,9,1,,128
"Sin Nivel (011)",195,2,69,74,21,9,7,,,,13
"Primaria (013)",749,9,272,277,95,25,20,7,1,,43
"Secundaria (014)",370,,115,143,45,25,3,,,,39
"Sup. no Univ. Incompleta (015)",33,1,6,14,6,1,,1,,,4
"Sup. no Univ. Completa (016)",71,,10,27,20,2,,1,,,11
"Sup. Univ. Incompleta (017)",27,,9,4,4,2,1,,,,7
"Sup. Univ. Completa (018)",87,,16,24,19,13,4,,,,11
,,,,,,,,,,,
"RURAL (020)",1034,16,376,363,116,36,12,10,1,,104
"Sin Nivel (021)",173,7,70,48,21,5,3,2,,,17
"Educación Inicial (022)",1,,,,,,,,,,1
"Primaria (023)",493,7,211,165,46,19,6,4,1,,34
"Secundaria (024)",299,2,86,124,33,11,2,3,,,38
"Sup. no Univ. Incompleta (025)",24,,4,11,5,,,,,,4
"Sup. no Univ. Completa (026)",19,,2,8,3,,,1,,,5
"Sup. Univ. Incompleta (027)",9,,1,4,,1,,,,,3
"Sup. Univ. Completa (028)",16,,2,3,8,,1,,,,2
