"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA MAR (000)",77125,18483,2168,36729,16753,736,979,436,841
"Jefe o Jefa (001)",21407,5518,32,9639,4793,278,496,145,506
"Esposa(o)/ compa¤era(o) (002)",12970,4495,33,5898,2078,119,197,49,101
"Hijo(a)/ hijastro(a) (003)",34286,6453,1826,17588,7750,235,160,188,86
"Yerno/ nuera (004)",673,40,,233,342,13,22,9,14
"Nieto(a) (005)",2112,589,172,1095,245,2,5,2,2
"Padres/ suegros (006)",642,498,,122,18,1,3,,
"Otro(a) pariente (007)",3716,729,96,1711,1010,59,48,27,36
"Trabajador(a) del hogar (008)",78,9,,33,33,1,,1,1
"Pensionista (009)",39,2,,10,14,,4,1,8
"Otro(a) no pariente (010)",1202,150,9,400,470,28,44,14,87
"Hombres (012)",39473,6962,1079,19296,10340,435,515,300,546
"Jefe o Jefa (013)",15453,2645,20,7703,4019,220,343,127,376
"Esposa(o)/ compa¤era(o) (014)",1063,167,1,490,320,18,27,13,27
"Hijo(a)/ hijastro(a) (015)",18425,3296,929,9172,4647,129,80,123,49
"Yerno/ nuera (016)",296,19,,87,163,5,8,6,8
"Nieto(a) (017)",1105,305,84,552,158,1,2,2,1
"Padres/ suegros (018)",210,123,,73,13,,1,,
"Otro(a) pariente (019)",2066,330,44,936,648,40,27,17,24
"Trabajador(a) del hogar (020)",23,1,,10,9,1,,1,1
"Pensionista (021)",24,,,6,11,,2,1,4
"Otro(a) no pariente (022)",808,76,1,267,352,21,25,10,56
"Mujeres (024)",37652,11521,1089,17433,6413,301,464,136,295
"Jefe o Jefa (025)",5954,2873,12,1936,774,58,153,18,130
"Esposa(o)/ compa¤era(o) (026)",11907,4328,32,5408,1758,101,170,36,74
"Hijo(a)/ hijastro(a) (027)",15861,3157,897,8416,3103,106,80,65,37
"Yerno/ nuera (028)",377,21,,146,179,8,14,3,6
"Nieto(a) (029)",1007,284,88,543,87,1,3,,1
"Padres/ suegros (030)",432,375,,49,5,1,2,,
"Otro(a) pariente (031)",1650,399,52,775,362,19,21,10,12
"Trabajador(a) del hogar (032)",55,8,,23,24,,,,
"Pensionista (033)",15,2,,4,3,,2,,4
"Otro(a) no pariente (034)",394,74,8,133,118,7,19,4,31
,,,,,,,,,
"URBANA (036)",31556,6047,1024,13553,8707,513,730,334,648
"Jefe o Jefa (037)",8500,1810,23,3370,2282,186,344,107,378
"Esposa(o)/ compa¤era(o) (038)",4979,1387,13,2088,1114,86,162,44,85
"Hijo(a)/ hijastro(a) (039)",13852,2096,839,6413,4007,163,131,136,67
"Yerno/ nuera (040)",371,17,,107,202,10,15,8,12
"Nieto(a) (041)",927,236,90,471,121,2,3,2,2
"Padres/ suegros (042)",232,167,,54,8,1,2,,
"Otro(a) pariente (043)",1796,247,53,765,599,41,39,22,30
"Trabajador(a) del hogar (044)",47,5,,17,24,,,,1
"Pensionista (045)",29,2,,10,12,,2,1,2
"Otro(a) no pariente (046)",823,80,6,258,338,24,32,14,71
