"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAURA (000)",176992,22097,42730,9182,103624
"Hombres (001)",89110,9983,21547,5373,52579
"Mujeres (002)",87882,12114,21183,3809,51045
"PEA (003)",81121,5346,19767,5093,51343
"Hombres (004)",53405,3067,12466,3612,34537
"Mujeres (005)",27716,2279,7301,1481,16806
"Ocupada (006)",77761,5075,19383,4973,48754
"Hombres (007)",51264,2935,12215,3529,32859
"Mujeres (008)",26497,2140,7168,1444,15895
"Desocupada (009)",3360,271,384,120,2589
"Hombres (010)",2141,132,251,83,1678
"Mujeres (011)",1219,139,133,37,911
"No PEA (012)",95871,16751,22963,4089,52281
"Hombres (013)",35705,6916,9081,1761,18042
"Mujeres (014)",60166,9835,13882,2328,34239
,,,,,
"URBANA (018)",153300,18453,39547,8569,87357
"Hombres (019)",76377,8272,19627,4961,43883
"Mujeres (020)",76923,10181,19920,3608,43474
"PEA (021)",70582,4738,18200,4723,43340
"Hombres (022)",45181,2665,11136,3292,28361
"Mujeres (023)",25401,2073,7064,1431,14979
"Ocupada (024)",67509,4487,17835,4607,40995
"Hombres (025)",43245,2542,10901,3213,26859
"Mujeres (026)",24264,1945,6934,1394,14136
"Desocupada (027)",3073,251,365,116,2345
"Hombres (028)",1936,123,235,79,1502
"Mujeres (029)",1137,128,130,37,843
"No PEA (030)",82718,13715,21347,3846,44017
"Hombres (031)",31196,5607,8491,1669,15522
"Mujeres (032)",51522,8108,12856,2177,28495
,,,,,
"RURAL (036)",23692,3644,3183,613,16267
"Hombres (037)",12733,1711,1920,412,8696
"Mujeres (038)",10959,1933,1263,201,7571
"PEA (039)",10539,608,1567,370,8003
"Hombres (040)",8224,402,1330,320,6176
"Mujeres (041)",2315,206,237,50,1827
"Ocupada (042)",10252,588,1548,366,7759
"Hombres (043)",8019,393,1314,316,6000
"Mujeres (044)",2233,195,234,50,1759
"Desocupada (045)",287,20,19,4,244
"Hombres (046)",205,9,16,4,176
"Mujeres (047)",82,11,3,,68
"No PEA (048)",13153,3036,1616,243,8264
"Hombres (049)",4509,1309,590,92,2520
"Mujeres (050)",8644,1727,1026,151,5744
