"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CORONEL PORTILLO (000)",309306,68951,43719,12293,185318
"Quechua (001)",2331,243,243,102,1758
"Aymara (002)",220,42,28,26,140
"Asháninka (003)",1579,729,49,22,794
"Otra lengua nativa (004)",17660,9547,1181,242,6732
"Castellano (005)",287049,58312,42159,11845,175620
"Idioma Extranjero (006)",152,9,16,48,79
"Es Sordomudo/a (007)",315,69,43,8,195
"Hombres (009)",156553,32484,21990,7442,95254
"Quechua (010)",1343,123,163,78,989
"Aymara (011)",131,21,14,18,88
"Asháninka (012)",829,373,26,13,426
"Otra lengua nativa (013)",9079,4654,653,145,3658
"Castellano (014)",144928,27278,21105,7156,89946
"Idioma Extranjero (015)",80,4,5,28,43
"Es Sordomudo/a (016)",163,31,24,4,104
"Mujeres (018)",152753,36467,21729,4851,90064
"Quechua (019)",988,120,80,24,769
"Aymara (020)",89,21,14,8,52
"Asháninka (021)",750,356,23,9,368
"Otra lengua nativa (022)",8581,4893,528,97,3074
"Castellano (023)",142121,31034,21054,4689,85674
"Idioma Extranjero (024)",72,5,11,20,36
"Es Sordomudo/a (025)",152,38,19,4,91
,,,,,
"URBANA (027)",261958,46806,42229,11507,162295
"Quechua (028)",2149,194,237,93,1638
"Aymara (029)",193,30,26,22,129
"Asháninka (030)",285,73,43,20,162
"Otra lengua nativa (031)",4830,1817,771,83,2175
"Castellano (032)",254121,44633,41095,11261,157955
"Idioma Extranjero (033)",114,9,14,21,70
"Es Sordomudo/a (034)",266,50,43,7,166
"Hombres (036)",130278,21178,21193,6982,81481
"Quechua (037)",1229,99,159,71,909
"Aymara (038)",120,18,14,17,81
"Asháninka (039)",141,37,24,12,76
"Otra lengua nativa (040)",2418,860,426,58,1086
"Castellano (041)",126171,20137,20541,6807,79203
"Idioma Extranjero (042)",62,4,5,14,39
"Es Sordomudo/a (043)",137,23,24,3,87
"Mujeres (045)",131680,25628,21036,4525,80814
"Quechua (046)",920,95,78,22,729
"Aymara (047)",73,12,12,5,48
"Asháninka (048)",144,36,19,8,86
"Otra lengua nativa (049)",2412,957,345,25,1089
"Castellano (050)",127950,24496,20554,4454,78752
"Idioma Extranjero (051)",52,5,9,7,31
"Es Sordomudo/a (052)",129,27,19,4,79
,,,,,
"RURAL (054)",47348,22145,1490,786,23023
"Quechua (055)",182,49,6,9,120
"Aymara (056)",27,12,2,4,11
"Asháninka (057)",1294,656,6,2,632
"Otra lengua nativa (058)",12830,7730,410,159,4557
"Castellano (059)",32928,13679,1064,584,17665
"Idioma Extranjero (060)",38,,2,27,9
"Es Sordomudo/a (061)",49,19,,1,29
"Hombres (063)",26275,11306,797,460,13773
"Quechua (064)",114,24,4,7,80
"Aymara (065)",11,3,,1,7
"Asháninka (066)",688,336,2,1,350
"Otra lengua nativa (067)",6661,3794,227,87,2572
"Castellano (068)",18757,7141,564,349,10743
"Idioma Extranjero (069)",18,,,14,4
"Es Sordomudo/a (070)",26,8,,1,17
"Mujeres (072)",21073,10839,693,326,9250
"Quechua (073)",68,25,2,2,40
"Aymara (074)",16,9,2,3,4
"Asháninka (075)",606,320,4,1,282
"Otra lengua nativa (076)",6169,3936,183,72,1985
"Castellano (077)",14171,6538,500,235,6922
"Idioma Extranjero (078)",20,,2,13,5
"Es Sordomudo/a (079)",23,11,,,12
