"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUAMANGA (000)",130103,127373,2730
"Hombres (001)",61928,60717,1211
"Mujeres (002)",68175,66656,1519
"De 18 a 29 años (003)",50399,48817,1582
"Hombres (004)",24719,23838,881
"Mujeres (005)",25680,24979,701
"De 30 a 44 años (006)",41094,40837,257
"Hombres (007)",19511,19379,132
"Mujeres (008)",21583,21458,125
"De 45 a 64 años (009)",26845,26661,184
"Hombres (010)",12625,12561,64
"Mujeres (011)",14220,14100,120
"De 65 y más años (012)",11765,11058,707
"Hombres (013)",5073,4939,134
"Mujeres (014)",6692,6119,573
,,,
"URBANA (015)",98087,95895,2192
"Hombres (016)",46801,45778,1023
"Mujeres (017)",51286,50117,1169
"De 18 a 29 años (018)",39713,38315,1398
"Hombres (019)",19487,18706,781
"Mujeres (020)",20226,19609,617
"De 30 a 44 años (021)",31483,31267,216
"Hombres (022)",14857,14744,113
"Mujeres (023)",16626,16523,103
"De 45 a 64 años (024)",19416,19293,123
"Hombres (025)",9257,9208,49
"Mujeres (026)",10159,10085,74
"De 65 y más años (027)",7475,7020,455
"Hombres (028)",3200,3120,80
"Mujeres (029)",4275,3900,375
,,,
"RURAL (030)",32016,31478,538
"Hombres (031)",15127,14939,188
"Mujeres (032)",16889,16539,350
"De 18 a 29 años (033)",10686,10502,184
"Hombres (034)",5232,5132,100
"Mujeres (035)",5454,5370,84
"De 30 a 44 años (036)",9611,9570,41
"Hombres (037)",4654,4635,19
"Mujeres (038)",4957,4935,22
"De 45 a 64 años (039)",7429,7368,61
"Hombres (040)",3368,3353,15
"Mujeres (041)",4061,4015,46
"De 65 y más años (042)",4290,4038,252
"Hombres (043)",1873,1819,54
"Mujeres (044)",2417,2219,198
