"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia PAUCARTAMBO",,,,,,,,,
"Viviendas particulares (001)",620,315,99,37,56,4,23,7,79
"Ocupantes presentes (002)",2629,1323,386,149,263,11,93,33,371
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",566,277,92,34,53,4,22,7,77
"Ocupantes presentes (005)",2394,1149,364,136,251,11,90,33,360
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",11,5,2,1,1,,,,2
"Ocupantes presentes (014)",49,20,9,6,3,,,,11
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",41,31,5,2,2,,1,,
"Ocupantes presentes (017)",178,146,13,7,9,,3,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",6,6,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",242,150,42,16,14,2,3,2,13
"Ocupantes presentes (029)",908,571,145,63,57,5,14,7,46
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",229,143,40,15,13,2,3,2,11
"Ocupantes presentes (032)",851,543,136,57,54,5,14,7,35
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",11,5,2,1,1,,,,2
"Ocupantes presentes (041)",49,20,9,6,3,,,,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",6,6,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",378,165,57,21,42,2,20,5,66
"Ocupantes presentes (056)",1721,752,241,86,206,6,79,26,325
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",337,134,52,19,40,2,19,5,66
"Ocupantes presentes (059)",1543,606,228,79,197,6,76,26,325
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",41,31,5,2,2,,1,,
"Ocupantes presentes (071)",178,146,13,7,9,,3,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
