"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ISLAY (000)",14852,13865,65,3320,3869,2595,2615,984,347,70,987,40217
"De 12 a 14 años (001)",11,4,,4,,,,,,,7,4
"De 15 a 19 años (002)",235,206,4,186,12,1,3,,,,29,225
"De 20 a 24 años (003)",1138,877,11,649,185,23,6,3,,,261,1134
"De 25 a 29 años (004)",1728,1523,8,778,548,153,34,1,1,,205,2489
"De 30 a 34 años (005)",1903,1808,9,568,775,320,126,10,,,95,3677
"De 35 a 39 años (006)",1793,1736,2,330,697,452,226,26,3,,57,4222
"De 40 a 44 años (007)",1631,1573,4,224,531,400,326,71,14,3,58,4497
"De 45 a 49 años (008)",1391,1351,3,167,363,334,370,92,20,2,40,4284
"De 50 y más años (009)",5022,4787,24,414,758,912,1524,781,309,65,235,19685
"Conviviente (010)",4564,4468,24,1490,1388,730,578,198,46,14,96,10755
"De 12 a 14 años (011)",5,1,,1,,,,,,,4,1
"De 15 a 19 años (012)",162,141,3,127,11,,,,,,21,149
"De 20 a 24 años (013)",632,595,7,426,136,21,3,2,,,37,787
"De 25 a 29 años (014)",962,941,5,447,355,106,27,1,,,21,1592
"De 30 a 34 años (015)",856,853,6,234,376,156,75,6,,,3,1810
"De 35 a 39 años (016)",679,678,1,115,245,196,105,15,1,,1,1740
"De 40 a 44 años (017)",449,448,1,54,123,125,106,31,5,3,1,1413
"De 45 a 49 años (018)",288,287,,37,64,57,93,29,6,1,1,991
"De 50 y más años (019)",531,524,1,49,78,69,169,114,34,10,7,2272
"Separado(a) (020)",903,886,4,228,232,142,177,76,23,4,17,2610
"De 15 a 19 años (022)",5,5,1,4,,,,,,,,4
"De 20 a 24 años (023)",57,48,,38,10,,,,,,9,58
"De 25 a 29 años (024)",76,75,,43,28,4,,,,,1,111
