"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia ESPINAR",,,,,,,,,
"Hogares (001)",16792,20,3560,275,31,1386,11300,13,207
"Ocupantes presentes (002)",60806,56,12543,849,118,5640,41210,22,368
"Casa independiente",,,,,,,,,
"Hogares (004)",14361,19,3497,272,28,1327,9014,13,191
"Ocupantes presentes (005)",52537,55,12300,834,112,5431,33440,22,343
"Departamento en edificio",,,,,,,,,
"Hogares (007)",12,,10,,,,,,2
"Ocupantes presentes (008)",40,,38,,,,,,2
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",18,,18,,,,,,
"Ocupantes presentes (011)",105,,105,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",36,1,17,,,,15,,3
"Ocupantes presentes (014)",109,1,59,,,,46,,3
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2331,,8,3,2,57,2258,,3
"Ocupantes presentes (017)",7920,,24,15,5,203,7668,,5
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",3,,,,1,,,,2
"Ocupantes presentes (020)",4,,,,1,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",28,,9,,,1,12,,6
"Ocupantes presentes (023)",81,,13,,,5,51,,12
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,1,,,1,1,,
"Ocupantes presentes (026)",10,,4,,,1,5,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7417,19,3511,256,27,1232,2171,12,189
"Ocupantes presentes (029)",26878,55,12416,803,98,5067,8080,21,338
"Casa independiente",,,,,,,,,
"Hogares (031)",7328,18,3456,256,26,1230,2154,12,176
"Ocupantes presentes (032)",26570,54,12197,803,97,5061,8019,21,318
"Departamento en edificio",,,,,,,,,
"Hogares (034)",12,,10,,,,,,2
"Ocupantes presentes (035)",40,,38,,,,,,2
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",18,,18,,,,,,
"Ocupantes presentes (038)",105,,105,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",36,1,17,,,,15,,3
"Ocupantes presentes (041)",109,1,59,,,,46,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",3,,,,1,,,,2
"Ocupantes presentes (047)",4,,,,1,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",18,,9,,,1,2,,6
"Ocupantes presentes (050)",45,,13,,,5,15,,12
"Otro tipo",,,,,,,,,
"Hogares (052)",2,,1,,,1,,,
"Ocupantes presentes (053)",5,,4,,,1,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",9375,1,49,19,4,154,9129,1,18
"Ocupantes presentes (056)",33928,1,127,46,20,573,33130,1,30
"Casa independiente",,,,,,,,,
"Hogares (058)",7033,1,41,16,2,97,6860,1,15
"Ocupantes presentes (059)",25967,1,103,31,15,370,25421,1,25
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2331,,8,3,2,57,2258,,3
"Ocupantes presentes (071)",7920,,24,15,5,203,7668,,5
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",10,,,,,,10,,
"Ocupantes presentes (077)",36,,,,,,36,,
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,1,,
"Ocupantes presentes (080)",5,,,,,,5,,
