"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia RECUAY",,,,,,,,
"Viviendas particulares (001)",4906,3916,903,32,13,27,7,8
"Ocupantes presentes (002)",18746,14762,3712,110,40,79,17,26
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",4573,3599,896,32,13,26,1,6
"Ocupantes presentes (005)",17754,13824,3685,110,40,76,1,18
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",8,,2,,,,6,
"Ocupantes presentes (011)",27,,11,,,,16,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",44,41,1,,,1,,1
"Ocupantes presentes (014)",154,144,4,,,3,,3
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",273,271,1,,,,,1
"Ocupantes presentes (017)",783,772,6,,,,,5
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",4,4,,,,,,
"Ocupantes presentes (020)",18,18,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",4,1,3,,,,,
"Ocupantes presentes (023)",10,4,6,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",2740,1896,764,31,11,25,7,6
"Ocupantes presentes (029)",10563,7302,3013,102,36,77,17,16
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",2680,1850,758,31,11,24,1,5
"Ocupantes presentes (032)",10354,7136,2992,102,36,74,1,13
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",8,,2,,,,6,
"Ocupantes presentes (038)",27,,11,,,,16,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",44,41,1,,,1,,1
"Ocupantes presentes (041)",154,144,4,,,3,,3
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",4,4,,,,,,
"Ocupantes presentes (047)",18,18,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",4,1,3,,,,,
"Ocupantes presentes (050)",10,4,6,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",2166,2020,139,1,2,2,,2
"Ocupantes presentes (056)",8183,7460,699,8,4,2,,10
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",1893,1749,138,1,2,2,,1
"Ocupantes presentes (059)",7400,6688,693,8,4,2,,5
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",273,271,1,,,,,1
"Ocupantes presentes (071)",783,772,6,,,,,5
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
