"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MAYNAS (000)",10346,3273,7073
"Sin nivel (001)",124,35,89
"Educación inicial (002)",6,2,4
"Primaria (003)",2356,728,1628
"Secundaria (004)",5585,1907,3678
"Superior no univ. incompleta (005)",504,135,369
"Superior no univ. completa (006)",665,175,490
"Superior univ. incompleta (007)",444,129,315
"Superior univ. completa (008)",662,162,500
"De 14 a 29 años (010)",5905,2635,3270
"Sin nivel (011)",41,18,23
"Educación inicial (012)",4,2,2
"Primaria (013)",972,511,461
"Secundaria (014)",3627,1627,2000
"Superior no univ. incompleta (015)",340,112,228
"Superior no univ. completa (016)",347,129,218
"Superior univ. incompleta (017)",278,116,162
"Superior univ. completa (018)",296,120,176
"De 30 a 44 años (020)",2661,525,2136
"Sin nivel (021)",29,11,18
"Educación inicial (022)",2,,2
"Primaria (023)",649,160,489
"Secundaria (024)",1258,243,1015
"Superior no univ. incompleta (025)",123,18,105
"Superior no univ. completa (026)",245,45,200
"Superior univ. incompleta (027)",104,10,94
"Superior univ. completa (028)",251,38,213
"De 45 a 64 años (030)",1557,113,1444
"Sin nivel (031)",44,6,38
"Primaria (033)",580,57,523
"Secundaria (034)",662,37,625
"Superior no univ. incompleta (035)",38,5,33
"Superior no univ. completa (036)",70,1,69
"Superior univ. incompleta (037)",58,3,55
"Superior univ. completa (038)",105,4,101
"De 65 y más años (040)",223,,223
"Sin nivel (041)",10,,10
"Primaria (043)",155,,155
"Secundaria (044)",38,,38
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",3,,3
"Superior univ. incompleta (047)",4,,4
"Superior univ. completa (048)",10,,10
,,,
"AREA URBANA (050)",8811,2632,6179
"Sin nivel (051)",83,21,62
"Educación inicial (052)",6,2,4
"Primaria (053)",1529,390,1139
"Secundaria (054)",4955,1639,3316
"Superior no univ. incompleta (055)",492,129,363
"Superior no univ. completa (056)",650,164,486
"Superior univ. incompleta (057)",442,128,314
"Superior univ. completa (058)",654,159,495
"De 14 a 29 años (060)",5035,2130,2905
"Sin nivel (061)",27,11,16
"Educación inicial (062)",4,2,2
"Primaria (063)",567,255,312
"Secundaria (064)",3197,1399,1798
"Superior no univ. incompleta (065)",331,108,223
"Superior no univ. completa (066)",338,122,216
"Superior univ. incompleta (067)",278,116,162
"Superior univ. completa (068)",293,117,176
"De 30 a 44 años (070)",2256,421,1835
"Sin nivel (071)",20,6,14
"Educación inicial (072)",2,,2
"Primaria (073)",408,101,307
"Secundaria (074)",1115,209,906
"Superior no univ. incompleta (075)",121,17,104
"Superior no univ. completa (076)",240,41,199
"Superior univ. incompleta (077)",103,9,94
"Superior univ. completa (078)",247,38,209
"De 45 a 64 años (080)",1337,81,1256
"Sin nivel (081)",28,4,24
"Primaria (083)",432,34,398
"Secundaria (084)",609,31,578
"Superior no univ. incompleta (085)",37,4,33
"Superior no univ. completa (086)",69,1,68
"Superior univ. incompleta (087)",58,3,55
"Superior univ. completa (088)",104,4,100
"De 65 y más años (090)",183,,183
"Sin nivel (091)",8,,8
"Primaria (093)",122,,122
"Secundaria (094)",34,,34
"Superior no univ. incompleta (095)",3,,3
"Superior no univ. completa (096)",3,,3
"Superior univ. incompleta (097)",3,,3
"Superior univ. completa (098)",10,,10
,,,
"AREA RURAL (100)",1535,641,894
"Sin nivel (101)",41,14,27
"Primaria (103)",827,338,489
"Secundaria (104)",630,268,362
"Superior no univ. incompleta (105)",12,6,6
"Superior no univ. completa (106)",15,11,4
"Superior univ. incompleta (107)",2,1,1
"Superior univ. completa (108)",8,3,5
"De 14 a 29 años (110)",870,505,365
"Sin nivel (111)",14,7,7
"Primaria (113)",405,256,149
"Secundaria (114)",430,228,202
"Superior no univ. incompleta (115)",9,4,5
"Superior no univ. completa (116)",9,7,2
"Superior univ. completa (118)",3,3,
"De 30 a 44 años (120)",405,104,301
"Sin nivel (121)",9,5,4
"Primaria (123)",241,59,182
"Secundaria (124)",143,34,109
"Superior no univ. incompleta (125)",2,1,1
"Superior no univ. completa (126)",5,4,1
"Superior univ. incompleta (127)",1,1,
"Superior univ. completa (128)",4,,4
"De 45 a 64 años (130)",220,32,188
"Sin nivel (131)",16,2,14
"Primaria (133)",148,23,125
"Secundaria (134)",53,6,47
"Superior no univ. incompleta (135)",1,1,
"Superior no univ. completa (136)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",40,,40
"Sin nivel (141)",2,,2
"Primaria (143)",33,,33
"Secundaria (144)",4,,4
"Superior univ. incompleta (147)",1,,1
