"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANTA (000)",6008,4546,685,445,332
"Agric., ganadería, caza y silvicultura (001)",3684,2967,459,249,9
"Pesca (002)",16,9,7,,
"Explotación de minas y canteras (003)",133,73,43,14,3
"Industrias manufactureras (004)",112,93,11,5,3
"Suministro de electricidad, gas y agua (005)",12,2,,8,2
"Construcción (006)",249,183,38,26,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",461,438,17,6,
"Venta, mant.y rep. veh.autom y motoc. (008)",29,28,1,,
"Comercio al por mayor (009)",22,17,3,2,
"Comercio al por menor (010)",410,393,13,4,
"Hoteles y restaurantes (011)",283,254,21,4,4
"Trans., almac. y comunicaciones (012)",210,153,24,23,10
"Intermediación financiera (013)",6,1,1,,4
"Activid.inmobil., empres. y alquileres (014)",98,55,10,19,14
"Admin.pub. y defensa; p. segur soc.afil (015)",173,,,,173
"Enseñanza (016)",191,21,25,60,85
"Servicios sociales y de salud (017)",49,25,7,2,15
"Otras activ. serv.comun.soc y personales (018)",119,97,10,7,5
"Hogares privados con servicio doméstico (019)",81,81,,,
"Actividad economica no especificada (021)",131,94,12,22,3
"Hombres (022)",4072,3077,489,324,182
"Agric., ganadería, caza y silvicultura (023)",2711,2200,319,187,5
"Pesca (024)",16,9,7,,
"Explotación de minas y canteras (025)",117,68,32,14,3
"Industrias manufactureras (026)",84,70,8,3,3
"Suministro de electricidad, gas y agua (027)",10,1,,7,2
"Construcción (028)",243,180,36,25,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",206,191,12,3,
"Venta, mant.y rep. veh.autom y motoc. (030)",27,26,1,,
"Comercio al por mayor (031)",10,6,3,1,
"Comercio al por menor (032)",169,159,8,2,
"Hoteles y restaurantes (033)",72,55,13,2,2
"Trans., almac. y comunicaciones (034)",202,146,23,23,10
"Intermediación financiera (035)",4,1,,,3
"Activid.inmobil., empres. y alquileres (036)",72,41,8,13,10
"Admin.pub. y defensa; p. segur soc.afil (037)",105,,,,105
"Enseñanza (038)",78,7,15,25,31
"Servicios sociales y de salud (039)",15,12,1,,2
"Otras activ. serv.comun.soc y personales (040)",79,62,8,5,4
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",53,29,7,17,
