"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANDARAVE (000)",4051,400,990,1841,35,771,14
"Conviviente (001)",1296,109,381,595,9,199,3
"Separado(a) (002)",134,17,27,77,1,11,1
"Casado(a) (003)",1513,125,287,754,17,329,1
"Viudo(a) (004)",182,2,29,133,2,16,
"Divorciado(a) (005)",23,6,1,12,2,2,
"Soltero(a) (006)",903,141,265,270,4,214,9
"Hombres (008)",2545,253,794,1224,24,247,3
"Conviviente (009)",825,78,306,397,5,38,1
"Separado(a) (010)",67,9,20,31,1,6,
"Casado(a) (011)",934,88,230,549,14,52,1
"Viudo(a) (012)",86,1,13,62,1,9,
"Divorciado(a) (013)",17,4,1,9,1,2,
"Soltero(a) (014)",616,73,224,176,2,140,1
"Mujeres (016)",1506,147,196,617,11,524,11
"Conviviente (017)",471,31,75,198,4,161,2
"Separado(a) (018)",67,8,7,46,,5,1
"Casado(a) (019)",579,37,57,205,3,277,
"Viudo(a) (020)",96,1,16,71,1,7,
"Divorciado(a) (021)",6,2,,3,1,,
"Soltero(a) (022)",287,68,41,94,2,74,8
,,,,,,,
"URBANA (024)",2634,324,626,1147,31,496,10
"Conviviente (025)",801,85,237,361,7,110,1
"Separado(a) (026)",81,12,20,43,1,5,
"Casado(a) (027)",1050,99,193,502,15,240,1
"Viudo(a) (028)",106,1,15,79,2,9,
"Divorciado(a) (029)",20,6,1,10,2,1,
"Soltero(a) (030)",576,121,160,152,4,131,8
"Hombres (032)",1626,198,509,739,20,158,2
"Conviviente (033)",516,58,195,239,3,21,
"Separado(a) (034)",38,8,16,11,1,2,
"Casado(a) (035)",640,70,157,361,12,39,1
"Viudo(a) (036)",49,,7,35,1,6,
"Divorciado(a) (037)",14,4,1,7,1,1,
"Soltero(a) (038)",369,58,133,86,2,89,1
"Mujeres (040)",1008,126,117,408,11,338,8
"Conviviente (041)",285,27,42,122,4,89,1
"Separado(a) (042)",43,4,4,32,,3,
"Casado(a) (043)",410,29,36,141,3,201,
"Viudo(a) (044)",57,1,8,44,1,3,
"Divorciado(a) (045)",6,2,,3,1,,
"Soltero(a) (046)",207,63,27,66,2,42,7
,,,,,,,
"RURAL (048)",1417,76,364,694,4,275,4
"Conviviente (049)",495,24,144,234,2,89,2
"Separado(a) (050)",53,5,7,34,,6,1
"Casado(a) (051)",463,26,94,252,2,89,
"Viudo(a) (052)",76,1,14,54,,7,
"Divorciado(a) (053)",3,,,2,,1,
"Soltero(a) (054)",327,20,105,118,,83,1
"Hombres (056)",919,55,285,485,4,89,1
"Conviviente (057)",309,20,111,158,2,17,1
"Separado(a) (058)",29,1,4,20,,4,
"Casado(a) (059)",294,18,73,188,2,13,
"Viudo(a) (060)",37,1,6,27,,3,
"Divorciado(a) (061)",3,,,2,,1,
"Soltero(a) (062)",247,15,91,90,,51,
"Mujeres (064)",498,21,79,209,,186,3
"Conviviente (065)",186,4,33,76,,72,1
"Separado(a) (066)",24,4,3,14,,2,1
"Casado(a) (067)",169,8,21,64,,76,
"Viudo(a) (068)",39,,8,27,,4,
"Soltero(a) (070)",80,5,14,28,,32,1
