"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ACOMAYO (000)",7899,683,1069,4047,195,1555,84,266
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,32,,,1,,,
"Profes., científicos e intelectuales (002)",382,332,,47,1,2,,
"Técnicos de nivel medio y trab. asimilados (003)",87,60,,26,1,,,
"Jefes y empleados de oficina (004)",80,78,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",404,50,7,286,6,55,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3437,,3,3264,170,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",181,,59,106,3,13,,
"Obreros construc.,conf.,papel, fab., instr. (008)",316,17,185,98,6,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2395,56,772,90,,1393,84,
"Otra (010)",29,29,,,,,,
"Ocupaciñn no especificada (011)",289,29,43,129,7,81,,
"Desocupado (012)",266,,,,,,,266
"Hombres (013)",5294,415,897,3017,141,599,24,201
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",28,28,,,,,,
"Profes., científicos e intelectuales (015)",223,195,,26,1,1,,
"Técnicos de nivel medio y trab. asimilados (016)",50,31,,18,1,,,
"Jefes y empleados de oficina (017)",47,47,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",131,25,,93,4,9,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2749,,2,2624,123,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",155,,55,85,3,12,,
"Obreros construc.,conf.,papel, fab., instr. (021)",306,17,179,94,6,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",1268,28,631,35,,550,24,
"Otra (023)",29,29,,,,,,
"Ocupaciñn no especificada (024)",107,15,30,42,3,17,,
"Desocupado (025)",201,,,,,,,201
"Mujeres (026)",2605,268,172,1030,54,956,60,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,4,,,1,,,
"Profes., científicos e intelectuales (028)",159,137,,21,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",37,29,,8,,,,
"Jefes y empleados de oficina (030)",33,31,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",273,25,7,193,2,46,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",688,,1,640,47,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",26,,4,21,,1,,
"Obreros construc.,conf.,papel, fab., instr. (034)",10,,6,4,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1127,28,141,55,,843,60,
"Ocupaciñn no especificada (037)",182,14,13,87,4,64,,
"Desocupado (038)",65,,,,,,,65
,,,,,,,,
"URBANA (039)",4648,564,633,2243,102,891,53,162
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",29,28,,,1,,,
"Profes., científicos e intelectuales (041)",316,276,,37,1,2,,
"Técnicos de nivel medio y trab. asimilados (042)",69,49,,19,1,,,
"Jefes y empleados de oficina (043)",71,70,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",312,33,5,229,3,42,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1759,,2,1670,87,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",112,,35,68,2,7,,
"Obreros construc.,conf.,papel, fab., instr. (047)",231,14,138,68,2,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1359,38,419,65,,784,53,
"Otra (049)",29,29,,,,,,
"Ocupaciñn no especificada (050)",199,27,34,87,5,46,,
"Desocupado (051)",162,,,,,,,162
"Hombres (052)",2945,343,505,1546,67,350,15,119
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",25,25,,,,,,
"Profes., científicos e intelectuales (054)",176,156,,18,1,1,,
"Técnicos de nivel medio y trab. asimilados (055)",35,21,,13,1,,,
"Jefes y empleados de oficina (056)",42,42,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",103,19,,75,2,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1340,,1,1282,57,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",95,,33,53,2,7,,
"Obreros construc.,conf.,papel, fab., instr. (060)",223,14,134,64,2,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",696,23,316,21,,321,15,
"Otra (062)",29,29,,,,,,
"Ocupaciñn no especificada (063)",62,14,21,20,2,5,,
"Desocupado (064)",119,,,,,,,119
"Mujeres (065)",1703,221,128,697,35,541,38,43
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,3,,,1,,,
"Profes., científicos e intelectuales (067)",140,120,,19,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",34,28,,6,,,,
"Jefes y empleados de oficina (069)",29,28,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",209,14,5,154,1,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",419,,1,388,30,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",17,,2,15,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",8,,4,4,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",663,15,103,44,,463,38,
"Ocupaciñn no especificada (076)",137,13,13,67,3,41,,
"Desocupado (077)",43,,,,,,,43
,,,,,,,,
"RURAL (078)",3251,119,436,1804,93,664,31,104
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",4,4,,,,,,
"Profes., científicos e intelectuales (080)",66,56,,10,,,,
"Técnicos de nivel medio y trab. asimilados (081)",18,11,,7,,,,
"Jefes y empleados de oficina (082)",9,8,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",92,17,2,57,3,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1678,,1,1594,83,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",69,,24,38,1,6,,
"Obreros construc.,conf.,papel, fab., instr. (086)",85,3,47,30,4,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1036,18,353,25,,609,31,
"Ocupaciñn no especificada (089)",90,2,9,42,2,35,,
"Desocupado (090)",104,,,,,,,104
"Hombres (091)",2349,72,392,1471,74,249,9,82
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",47,39,,8,,,,
"Técnicos de nivel medio y trab. asimilados (094)",15,10,,5,,,,
"Jefes y empleados de oficina (095)",5,5,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",28,6,,18,2,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1409,,1,1342,66,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",60,,22,32,1,5,,
"Obreros construc.,conf.,papel, fab., instr. (099)",83,3,45,30,4,1,,
