"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia MOYOBAMBA",,,,,,,
"Viviendas particulares (001)",26795,4453,369,1230,19886,430,427
"Ocupantes presentes (002)",114445,15722,1603,5594,88236,1522,1768
"Casa independiente",,,,,,,
"Viviendas particulares (004)",24433,3305,353,1194,18815,370,396
"Ocupantes presentes (005)",106081,12646,1556,5448,83409,1345,1677
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",100,66,,5,29,,
"Ocupantes presentes (008)",344,192,,19,133,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",993,845,,15,123,1,9
"Ocupantes presentes (011)",2731,2112,,65,528,1,25
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",180,104,,7,63,3,3
"Ocupantes presentes (014)",652,286,,23,319,13,11
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",986,98,12,8,816,47,5
"Ocupantes presentes (017)",4263,360,34,33,3705,118,13
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",75,21,4,1,34,4,11
"Ocupantes presentes (020)",276,82,13,6,118,19,38
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",22,11,,,6,4,1
"Ocupantes presentes (023)",80,33,,,24,22,1
"Otro tipo",,,,,,,
"Viviendas particulares (025)",6,3,,,,1,2
"Ocupantes presentes (026)",18,11,,,,4,3
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",16162,3558,252,1108,10700,197,347
"Ocupantes presentes (029)",67462,12345,1105,5051,46795,738,1428
"Casa independiente",,,,,,,
"Viviendas particulares (031)",14792,2511,248,1080,10447,184,322
"Ocupantes presentes (032)",63390,9642,1092,4938,45688,679,1351
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",100,66,,5,29,,
"Ocupantes presentes (035)",344,192,,19,133,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",993,845,,15,123,1,9
"Ocupantes presentes (038)",2731,2112,,65,528,1,25
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",180,104,,7,63,3,3
"Ocupantes presentes (041)",652,286,,23,319,13,11
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",75,21,4,1,34,4,11
"Ocupantes presentes (047)",276,82,13,6,118,19,38
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",17,9,,,4,4,
"Ocupantes presentes (050)",55,24,,,9,22,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",5,2,,,,1,2
"Ocupantes presentes (053)",14,7,,,,4,3
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",10633,895,117,122,9186,233,80
"Ocupantes presentes (056)",46983,3377,498,543,41441,784,340
"Casa independiente",,,,,,,
"Viviendas particulares (058)",9641,794,105,114,8368,186,74
"Ocupantes presentes (059)",42691,3004,464,510,37721,666,326
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",986,98,12,8,816,47,5
"Ocupantes presentes (071)",4263,360,34,33,3705,118,13
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",5,2,,,2,,1
"Ocupantes presentes (077)",25,9,,,15,,1
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,1,,,,,
"Ocupantes presentes (080)",4,4,,,,,
